contest_id,handle,old_rating,new_rating
1452,-rs-,2025,2314
1452,peterr,2099,2333
1452,tiger2005123,1660,2021
1452,tirlimster,1981,2219
1452,duyiblue,2099,2283
1452,afterall,1748,2097
1452,asvasil,1837,2097
1452,IceKnight1093,2009,2207
1452,gangpener,2088,2257
1452,Enter_,1208,1723
1452,underlined,1645,1950
1452,mfdy,2019,2191
1452,vaaven,2085,2237
1452,Aima,2049,2209
1452,Starman_,2068,2219
1452,arzhantsev64,1798,2029
1452,zeitnot,1780,2017
1452,stoq_,2055,2201
1452,Iking,1683,1948
1452,kalimm,2099,2227
1452,fmac_xym,2053,2192
1452,1700012703,897,1465
1452,cksberry,0,856
1452,Peti,1773,1995
1452,jerryfish233,2050,2184
1452,erogame,1717,1956
1452,Sugarii,2013,2154
1452,hhhwsqhhh,1760,1981
1452,chenyytk,0,843
1452,Bazoka13,2026,2160
1452,LZDQ,2095,2207
1452,DestinHistoire,2035,2163
1452,dannyboy20031204,2005,2140
1452,0wuming0,1720,1946
1452,manh9203,2075,2184
1452,BhaskarTM,2044,2162
1452,Prateek,1933,2084
1452,lsyyds,0,829
1452,xin_chen,1851,2061
1452,yangisclever,1818,2002
1452,rafaelgo,2010,2134
1452,rqdmap,1665,1898
1452,Vimmer,1881,2042
1452,Itf0501,2001,2123
1452,mannbou,1629,1872
1452,ijxjdjd,2000,2120
1452,I_HATE_GEOMETRY,2000,2120
1452,weasell,1948,2082
1452,Mucosolvan,2001,2118
1452,WindFromTmw,1208,1651
1452,yako,1974,2097
1452,7391izuriaF,1972,2151
1452,quanjun,1937,2070
1452,tarattata1,1994,2108
1452,_Kuuhaku_,1689,1900
1452,chinerist,2094,2176
1452,ligaydima,1994,2105
1452,i_love_my_mom,1594,1834
1452,caidongxiao,2046,2140
1452,dtc03012,2001,2108
1452,kesh4281,2099,2177
1452,cuber_coder,1948,2069
1452,AwakeAnay,2046,2137
1452,Komeiji_Green,1867,2010
1452,Gleefre,1727,1915
1452,xingmo,1865,2008
1452,vok8,1774,1946
1452,LinkinPony,1658,1868
1452,lyly_61,1950,2065
1452,Alx,1904,2032
1452,tkacper,2022,2114
1452,FireBird23,1592,1821
1452,LamCVP,1747,1923
1452,ttklwxx,1915,2037
1452,Kaey,2024,2112
1452,HollwoQ_Pelw,2043,2125
1452,Hatsuyuki,2055,2132
1452,li_xu_yuan,1738,1965
1452,joylintp,1944,2053
1452,rk_98,1849,1985
1452,PleasePreyForMe,0,784
1452,EmilConst,2058,2132
1452,manish.17,1731,1905
1452,abort_dodger_3000,2094,2157
1452,taran_1407,2082,2148
