contest_id,handle,old_rating,new_rating
1987,Radewoosh,3373,3542
1987,ecnerwala,3501,3584
1987,tourist,3845,3803
1987,Benq,3630,3627
1987,gamegame,3394,3437
1987,ksun48,3378,3412
1987,maroonrk,3372,3397
1987,JoesSR_,2814,2972
1987,Maksim1744,2976,3086
1987,ugly2333,3235,3270
1987,crazy_sea,3077,3146
1987,cat_of_Nesraychan,2803,2933
1987,LJC00118,3234,3250
1987,kotatsugame,2920,3010
1987,Ormlis,3159,3184
1987,tute7627,3016,3073
1987,Um_nik,3353,3319
1987,qiuzx,2799,2900
1987,namelessgugugu,2562,2717
1987,Petr,3322,3284
1987,JCY_,2771,2867
1987,bashkort,2760,2855
1987,daubi,2797,2880
1987,yuto1115,2959,2999
1987,Tlatoani,2768,2852
1987,BEAR0131,2668,2774
1987,hos.lyric,3234,3196
1987,A_G,2901,2944
1987,maspy,3198,3164
1987,potato167,3138,3117
1987,ainta,2820,2875
1987,Kapt,3062,3055
1987,Kevin114514,3143,3113
1987,CJ-zhuyifan,2654,2744
1987,Sugar_fan,2886,2916
1987,dl720125,2758,2818
1987,fuppy,2520,2637
1987,Adam_GS,2720,2785
1987,CJ_xde_pt,2506,2623
1987,E_fireworks,2676,2748
1987,StarSilk,2897,2913
1987,hyman00,2781,2824
1987,1a2b3c4,2626,2705
1987,BurnedChicken,3244,3167
1987,Karuna,2648,2719
1987,PinkieRabbit,2776,2813
1987,as_dfsdf,2543,2637
1987,Kilani,2493,2598
1987,Flamire,2932,2926
1987,zhangjianjuncd,2596,2672
1987,BNDStxdy,402,1212
1987,BoSinn,1618,2056
1987,HHH666666,2327,2469
1987,arbuzick,2703,2747
1987,dorijanlendvaj,2999,2968
1987,Rewinding,3308,3196
1987,pavement,2245,2404
1987,w4p3r,2308,2449
1987,do_while_not_false,2399,2514
1987,TKT_YI,2519,2602
1987,OIer_kzc,2477,2569
1987,Ra16bit,2477,2568
1987,liumohan,2360,2481
1987,oleh1421,2635,2684
1987,EasonTAO,2606,2661
1987,LHiC,2955,2922
1987,risujiroh,2747,2764
1987,Macesuted-Moe,2465,2552
1987,wyrqwq,2626,2671
1987,Pyqe,2834,2826
1987,YeongTree,2582,2636
1987,qq_orange,2429,2522
1987,emthrm,2418,2513
1987,asdsasd,2851,2835
1987,Kude,2522,2588
1987,Forested,2920,2885
1987,yutabi,2358,2465
1987,neal,2812,2802
1987,fzx,2336,2447
1987,buy_gram_wind,2330,2478
1987,-14,2609,2647
1987,jhhan917,2323,2435
1987,hitonanode,2957,2906
1987,RaresFelix,2349,2452
1987,LMydd0225,2542,2594
1987,ballpoint_pen,2221,2357
1987,caubetraidatmarvin,2763,2757
1987,YocyCraft,2535,2586
1987,Everule,2479,2543
1987,swiftqwq,2528,2579
1987,fallleaves01,2745,2741
1987,gloria_mundi,2375,2464
1987,RP-1,2442,2513
1987,physics0523,2580,2615
1987,Raiden_Bosenmori_Mei,1866,2154
1987,GroupMatrix,2725,2722
1987,Noche_6,2319,2419
1987,zzpc,2168,2310
1987,_furina,0,868
