contest_id,handle,old_rating,new_rating
1146,tourist,3628,3698
1146,Benq,3142,3262
1146,Radewoosh,3040,3152
1146,yutaka1999,2989,3091
1146,ainta,2904,3010
1146,Um_nik,3534,3463
1146,ecnerwala,3305,3285
1146,hos.lyric,2641,2780
1146,ACRush,2649,2778
1146,mnbvmar,3291,3248
1146,ksun48,3012,3034
1146,300iq,2982,3005
1146,maroonrk,2924,2956
1146,DearMargaret,3182,3143
1146,izban,2694,2775
1146,zemen,2769,2826
1146,scott_wu,2909,2926
1146,fivedemands,2268,2446
1146,black_horse2014,2716,2774
1146,Swistakk,2919,2922
1146,yosupo,2972,2958
1146,HanaElhami,2402,2533
1146,Golovanov399,2554,2641
1146,244mhq,2468,2575
1146,Merkurev,2809,2824
1146,neal,2800,2815
1146,Rafbill,2387,2507
1146,al13n,2812,2818
1146,niyaznigmatul,2597,2656
1146,aid,2794,2800
1146,Shayan,2513,2589
1146,Marcin_smu,2720,2740
1146,Egor.Lifar,2541,2605
1146,eatmore,2689,2713
1146,geniucos,2666,2694
1146,budalnik,2446,2529
1146,gisp_zjz,2675,2696
1146,natsugiri,2618,2652
1146,fsouza,2334,2441
1146,Jatana,2403,2489
1146,chemthan,2536,2586
1146,step_by_step,2641,2662
1146,Reyna,2656,2671
1146,zeliboba,2611,2636
1146,majk,2782,2763
1146,KrK,2637,2652
1146,isaf27,2733,2722
1146,snuke,2814,2782
1146,tfg,2576,2602
1146,masonsbro,2344,2429
1146,I_love_tigersugar,2499,2542
1146,TadijaSebez,2315,2405
1146,jiangly_fan,1719,1984
1146,Namnamseo,2364,2438
1146,mjhun,2700,2686
1146,nhho,2619,2625
1146,duality,2182,2302
1146,Xellos,2555,2574
1146,Chameleon2460,2488,2523
1146,walnutwaldo20,2393,2452
1146,nuip,2554,2570
1146,mango_lassi,2478,2512
1146,tribute_to_Ukraine_2022,2356,2421
1146,Shik,2656,2642
1146,tamionv,2325,2396
1146,ilyakor,2785,2737
1146,tabasz,2305,2379
1146,FatalEagle,2558,2565
1146,Aidos,2279,2357
1146,dragonslayerintraining,2429,2467
1146,Jakube,2273,2351
1146,Kostroma,2748,2703
1146,sqrtdecompton,2203,2298
1146,kektus,2139,2250
1146,shoemakerjo,2409,2447
1146,orz,2427,2459
1146,nikolapesic2802,2259,2334
1146,BigBag,2553,2551
1146,AndreySergunin,2636,2613
1146,Rzepa,2517,2522
1146,Stelutzu,2060,2187
1146,liymbear,2259,2329
1146,osmanorhan,2262,2331
1146,Amoo_Safar,2237,2311
1146,Shef,2578,2563
1146,peltorator,2573,2559
1146,amethyst0,2608,2584
1146,Arterm,2552,2541
1146,E869120,2399,2426
1146,Kepnu4,2141,2236
1146,ll931110,2201,2279
1146,Nazikk,2329,2372
1146,Rudy1444,2296,2347
1146,danya.smelskiy,2150,2239
1146,Roundgod,2514,2507
1146,nonamefour0210,2123,2218
1146,hank55663,2300,2346
1146,MofK,2636,2597
1146,Noam527,2366,2394
1146,Ali.Kh,2154,2237
1146,Kuzey,2192,2264
1146,amnesiac_dusk,2361,2388
1146,ezLadder,2350,2379
1146,OpalDshawn,2108,2201
1146,..vince,2208,2273
1146,hugeh0ge,2340,2369
1146,Ra16bit,2476,2470
1146,stevenkplus,2178,2249
1146,Vedensky,2250,2301
1146,ec24,2345,2369
1146,pmnox,2141,2220
1146,Fdg,2538,2513
1146,Kilani,2252,2299
1146,yhchang3,2108,2193
1146,gop2024,2426,2427
1146,Ilya_MSU,2306,2337
1146,summitwei,2029,2135
1146,Geothermal,2242,2288
1146,khokho,2345,2364
1146,Barichek,2314,2340
1146,fuppy,2310,2337
1146,kimiyuki,2199,2254
1146,Jungarr1k,2114,2192
1146,pllk,2255,2294
1146,Motarack,2364,2374
1146,antontrygubO_o,2434,2426
1146,xiaowuc1,2237,2279
1146,adedalic,2319,2339
1146,kobortor,2266,2299
1146,yamunaku,2241,2280
1146,khsoo01,2519,2487
1146,MicGor,2307,2327
1146,dinosaurs,1995,2099
1146,Farhod,2465,2445
1146,Kenny_HORROR,2317,2333
1146,RedNextCentury,2227,2266
1146,DSG213,2274,2300
1146,yashChandnani,2470,2446
1146,Netherdrake,1500,1751
1146,ShadowLight,2098,2169
1146,cerberus97,2409,2398
1146,Emiso,2216,2254
1146,Mofk_wont_2k8,2175,2224
1146,pupiI,2119,2182
1146,math957963,2201,2242
1146,Morokei,2344,2347
1146,brandonzhang,2162,2212
1146,negativebplusorminus,2338,2341
1146,Gromah,2474,2443
1146,almogwald,2129,2186
1146,knightL,2464,2435
1146,ehnryx,2268,2287
1146,proVIDec,2112,2172
1146,jtnydv25,2229,2257
1146,mibig,2177,2219
1146,hloya_ygrt,2465,2433
1146,nutella_waxberry,1718,1889
1146,huzzah,2197,2232
1146,olphe,2115,2171
1146,Cirno_9baka,2057,2129
1146,RUSH_D_CAT,2131,2182
1146,_LeMur_,2126,2178
1146,Ashishgup,2186,2221
1146,Starzxy,2061,2129
1146,codelegend,2306,2309
1146,sevenkplus,2615,2541
1146,ei133333,2234,2254
1146,Sergey.Bankevich,2013,2093
1146,Hamzqq9,2177,2211
1146,spj_29,2154,2194
1146,Ronnie007,2255,2268
1146,ppc_qjd,2442,2408
1146,Quang,2358,2344
1146,gazelle,2285,2289
1146,Wild_Hamster,2303,2302
1146,diko,2316,2311
1146,rotavirus,2246,2259
1146,SendThemToHell,2240,2254
1146,dmkz,1979,2063
1146,dorijanlendvaj,2090,2142
1146,risujiroh,2189,2215
1146,SPatrik,2142,2179
1146,kokokostya,2537,2475
1146,fedoseev.timofey,2284,2284
1146,NEU20133823,2156,2189
1146,fetetriste,2056,2115
1146,noimi,2271,2273
1146,Winniechen,2264,2267
1146,Fortin,2104,2149
1146,VladProg,2297,2291
1146,teapotd,2275,2274
1146,CrafterKolyan,2220,2233
1146,usachevd0,2170,2195
1146,alexwice,2066,2119
1146,teja349,2373,2346
1146,xolm,2173,2195
1146,kort0n,2170,2193
1146,hrazvan,2188,2206
1146,johannesk,2167,2191
1146,tnowak,2001,2069
1146,simonm,1985,2056
1146,schtamas,2190,2206
1146,Suzukaze,2265,2262
1146,awoo,2217,2225
1146,whatshisbucket,2027,2085
1146,Leonardo_Blanger,1813,1931
1146,AkshajK,1865,1968
1146,kabuszki,2427,2382
1146,MrDindows,2697,2586
1146,vanogam,2143,2167
1146,RAVEman,2664,2560
1146,batyrkhan14,2013,2072
1146,Minority169,1980,2048
1146,cescmentation_folch,2278,2267
1146,Jimanbanashi,2182,2195
1146,tusg25,2079,2119
1146,stefdasca,1983,2048
1146,Bohun,1810,1924
1146,satanic0,2251,2245
1146,mdj982,2101,2133
1146,iscsi,1920,2001
1146,flaviu2001,2036,2085
1146,TwoFx,2174,2186
1146,Kallaseldor,2090,2124
1146,nvmdava,2221,2220
1146,seland,1951,2022
1146,vemtranquilo,1774,1894
1146,jugol,1882,1971
1146,yzyz,2278,2261
1146,ilyausmanov,2277,2260
1146,espr1t,2115,2139
1146,agogik,1705,1843
1146,barni120400,1974,2036
1146,Derbent,2147,2162
1146,flashmt,2203,2203
1146,algmyr,1755,1877
1146,davidberard,2189,2192
1146,skrydg,2319,2289
1146,ivanilos,1935,2005
1146,kazuma,2385,2338
1146,ramchandra,2043,2083
1146,PedyD,2113,2134
1146,hamlet,2198,2197
1146,I-Love-Islam,2159,2167
1146,grundor,1500,1696
1146,sumitacchan,1905,1981
1146,VladaMG98,2175,2178
1146,oberon,2122,2138
1146,nanachi,2179,2180
1146,RockyB,1886,1965
1146,keymoon,1758,1873
1146,Hayven,2210,2202
1146,wisteria0410ss,1877,1958
1146,ck98,2001,2047
1146,PuRpLe_FoReVeR,2146,2154
1146,duyboy135,2107,2125
1146,kessido,2106,2124
1146,Mustang98,2107,2124
1146,oldpreisnerboy,1923,1989
1146,ekrem,2224,2210
1146,jacynkaa,2123,2135
1146,yassin_,1944,2003
1146,numbertheorist17,1962,2016
1146,VLamarca,2141,2147
1146,DmitryBelikov,2355,2308
1146,Aviously,2232,2214
1146,MrNutella,1278,1543
1146,_Solenya_,2208,2196
1146,_Dragon_,1945,2001
1146,codophile_zara,1640,1782
1146,Svyat,1967,2016
1146,Dup4,1887,1958
1146,Ekler,2033,2064
1146,Svlad_Cjelli,2177,2171
1146,abisheka,1943,1998
1146,Kerim.K,2185,2176
1146,Nieznany222,1870,1944
1146,Sammarize,2104,2115
1146,kyuridenamida,2096,2109
1146,ZhouShang2003,2150,2149
1146,v4lerich,2157,2154
1146,BohdanPastuschak,2122,2127
1146,potoooooooo,2025,2055
1146,altunyanv,1994,2032
