contest_id,handle,old_rating,new_rating
1147,scott_wu,2926,3005
1147,ACRush,2778,2816
1147,neal,2815,2800
1147,xiaowuc1,2279,2386
1147,Svlad_Cjelli,2171,2288
1147,Ra16bit,2454,2469
1147,ll931110,2279,2327
1147,stevenkplus,2249,2291
1147,yzyz,2261,2287
1147,pmnox,2207,2237
1147,Emiso,2150,2185
1147,kfqg,1956,2046
1147,NEU20133823,2189,2191
1147,robot-dreams,2053,2085
1147,Fdg,2513,2418
1147,batyrkhan14,2071,2076
1147,tap_tapii,2181,2147
1147,Kenny_HORROR,2333,2258
1147,OpalDshawn,2201,2145
1147,dinosaurs,2099,2054
1147,Suzukaze,2262,2178
1147,liymbear,2329,2227
1147,davidberard,2120,2039
1147,gojira,2099,2008
