contest_id,handle,old_rating,new_rating
379,BaconLi,2289,2445
379,Egor,2722,2760
379,liympanda,2359,2455
379,dj3500,2415,2489
379,ACRush,2373,2454
379,SillyHook06,2210,2334
379,al13n,2612,2630
379,FattyPenguin,2327,2413
379,droptable,2133,2279
379,uwi,2495,2533
379,GlebsHP,2354,2429
379,I_love_Tanya_Romanova,2190,2314
379,ACube,2271,2368
379,mruxim,2304,2390
379,Sisu,2077,2238
379,izban,2140,2278
379,Petr,2694,2664
379,Zlobober,2626,2613
379,tourist,3209,3093
379,rng_58,2950,2864
379,mR.ilchi,2490,2509
379,blueseen,1744,2033
379,shangjingbo,2309,2382
379,marcoskwkm,2041,2209
379,feyat,2144,2273
379,flashmt,2234,2329
379,crx,2069,2224
379,etal,1977,2167
379,Dmitry_Egorov,2495,2497
379,Apsara,2213,2312
379,gchebanov,2173,2286
379,SirShokoladina,2329,2384
379,bayleef,2206,2304
379,glassices,2240,2325
379,mochavic,2214,2307
379,gen,2023,2190
379,ddldyj237,2021,2188
379,DBradac,1767,2040
379,kostya_by,2306,2361
379,sy2006,2381,2407
379,wakaka,2136,2254
379,jqdai0815,2117,2242
379,cxjyxx_me,1899,2113
379,ztk,2019,2182
379,balakrishnan,1971,2153
379,Arterm,2290,2342
379,Milanin,2198,2286
379,fqw,2259,2321
379,nghiemtucboy,1838,2075
379,I_dont_have_girlfriend,1927,2125
379,havaliza,2202,2284
379,witua,2147,2251
379,rowdark,2378,2385
379,v.haralampiev,2307,2343
379,dancho,2151,2251
379,marecik16,1918,2117
379,sky58,2252,2308
379,iamquang1995,1721,2005
379,marat.snowbear,1905,2108
379,vinamilk,1602,1934
379,Gassa,2148,2244
379,dragoon,2128,2232
379,_Vadim_,1868,2085
379,TMandzu,2138,2236
379,V--o_o--V,2228,2286
379,rng_50216,1865,2082
379,MrDindows,2250,2296
379,VArtem,2367,2358
379,suckerr,1690,1983
379,ztxzl6,1500,1850
379,vilcheuski,2013,2161
379,sd0061,1899,2098
379,nvilcins,1939,2119
379,TankEngineer,2485,2414
379,tanzaku,1726,2001
379,Miyanaga_Saki,2056,2181
379,Giorgos_Christoglou,1677,1973
379,AstroConjecture,2233,2275
379,riadwaw,1985,2140
379,Jokser,2241,2277
379,arosusti,2023,2160
379,tongcx1988,1764,2019
379,Eureka,2213,2259
379,IvayloS,1793,2034
379,andrew.volchek,1860,2070
379,Velixa,1500,1845
379,Zuza,1919,2100
379,ainta,2200,2249
379,kuno4n,1716,1990
379,DEGwer,2178,2234
379,zemen,2218,2254
379,Aquacloud,1814,2042
379,mexmans,2214,2250
379,RomaWhite,2318,2300
379,kennethsnow,2197,2239
379,mmaxio,2341,2308
379,Nik_Storm_2010,1917,2094
379,sivukhin,2166,2221
379,ikbal,1875,2071
379,Komaki,2446,2368
379,TroyI118,1889,2077
379,mgv,1857,2060
379,orzxyz111,1839,2050
379,dismember,1690,1970
379,Sampson,2236,2248
379,stgatilov,2400,2328
379,haas,2340,2293
379,W4yneb0t,2269,2260
379,KuroNeko,2170,2213
379,Frommi,1772,2012
379,Flandre_Scarlet,1943,2099
379,msg555,2399,2324
379,sas4eka,1891,2072
379,Errichto,1977,2114
379,CA72,2139,2193
379,mjy0503,1995,2122
379,ttiplea,1953,2101
379,IvL,1690,1965
379,mislav_bradac,1889,2067
379,rainkit,1746,1994
379,shef_2318,1995,2119
379,bool_kzf,2186,2209
379,moshiur,2089,2163
379,mihaipopa12,2105,2170
379,ania,2210,2216
379,KrK,2056,2145
379,savinov,2113,2171
379,nfssdq,1822,2029
379,vlad107,2156,2190
379,Jami_CSEDU,1679,1954
379,I_love_tigersugar,2024,2126
379,ivanromanov,1981,2105
379,ig_dug,2059,2141
379,cmd,2231,2218
379,Azras,2086,2152
379,NVAL,1947,2087
379,acherepanov,2127,2169
379,yummy,2053,2135
379,wangchaohui,1894,2059
379,natsugiri,2197,2196
379,thocevar,2063,2137
379,ibra,1792,2008
379,dnk,1983,2099
379,alex.velea,2007,2110
379,Mimino,2342,2264
379,hex539,2222,2202
379,evgentu,2244,2208
379,wackloner,1936,2075
379,guliashvili,1941,2076
379,ryz,2171,2176
379,matrix,1915,2063
379,st.krwlng,1918,2064
379,obag,1794,2004
379,Dumbear,2200,2185
379,ABalobanov,1783,1998
379,Skeas,2103,2143
379,aaaaajack,1766,1988
379,Petru,1619,1911
379,ToBeTheChampion,1919,2060
379,SamanSami,2128,2150
379,Rydberg,1942,2070
379,ichyo,2053,2118
379,foreseeable,1841,2022
379,nownikhil,1706,1955
379,bigbrain,1695,1949
379,pedrovictor,2101,2135
379,forthright48,1774,1989
