contest_id,handle,old_rating,new_rating
913,Um_nik,3185,3309
913,desert97,2443,2715
913,yosupo,2867,2999
913,dotorya,3194,3225
913,zeliboba,2546,2734
913,FizzyDavid,2479,2675
913,Endagorion,2885,2961
913,.o.,2409,2607
913,SpyCheese,2907,2963
913,Kostroma,2734,2829
913,khadaev,2764,2845
913,izban,2711,2801
913,matthew99,2781,2847
913,Reyna,2675,2765
913,Marcin_smu,2703,2781
913,ko_osaga,2702,2777
913,Radewoosh,3209,3150
913,aid,2738,2796
913,Hujiwara,2440,2575
913,V--o_o--V,2827,2855
913,dengisnu,1831,2132
913,gs12117,2787,2820
913,mareksom,2480,2592
913,AndreySergunin,2480,2589
913,Chelly,2286,2445
913,sugim48,2654,2712
913,lucyanna2018,2496,2593
913,Zhukov_Dmitry,2458,2563
913,_h_,2491,2585
913,jqdai0815,3319,3199
913,Rafbill,2649,2697
913,knightL,2472,2565
913,Binary-grid-colouring,2302,2438
913,kriii,2616,2667
913,fateice,2940,2907
913,Shayan,2222,2374
913,eddy1021,2677,2707
913,ainta,2835,2822
913,kmjp,2454,2539
913,zscoder,2523,2588
913,ksun48,2745,2751
913,Shik,2714,2726
913,scanhex,2077,2256
913,krismaz,2531,2588
913,IvL,2677,2694
913,Merkurev,2701,2711
913,JustasK,2613,2644
913,gvaibhav21,2048,2228
913,wwwwodddd,2515,2569
913,I_love_Tanya_Romanova,2699,2704
913,zemen,2757,2746
913,Errichto,2787,2768
913,SirShokoladina,2637,2654
913,JOHNKRAM,2494,2547
913,riadwaw,2562,2595
913,liympanda,2387,2465
913,-imc-,2286,2390
913,natsugiri,2541,2577
913,Tinsane,2447,2506
913,Kurpilyansky,2329,2418
913,gepardo,2230,2344
913,sigma425,2584,2604
913,GyojunYoun,1989,2166
913,lych_cys,2387,2456
913,wrinx,2339,2420
913,kimiyuki,2113,2253
913,khsoo01,2450,2500
913,TangentDay,2322,2404
913,ugly2333,2195,2310
913,dy0607,2331,2409
913,Vladyslav,2516,2544
913,lllllllllllllllllllllll,1940,2122
913,Jimanbanashi,2314,2393
913,Kasia,2164,2282
913,Damon,2127,2254
913,ObiBlatKenobi,1500,1817
913,wiwitrifai,2242,2336
913,HellKitsune,2627,2621
913,magrady24,2114,2241
913,geniucos,2731,2698
913,sarkar,1996,2153
913,Chameleon2460,2504,2526
913,Expectation,1955,2122
913,uwi,2835,2774
913,-Wave-,2172,2278
913,Skedar,2231,2321
913,arsijo,2492,2513
913,kobae964,2130,2245
913,Pomegranateisnotafruit,1859,2049
913,molamola.,2844,2776
913,cdkrot,2447,2477
913,elsantodel90,2305,2371
913,AndreiNet,2343,2398
913,hogloid,2711,2673
913,Hazyknight,2097,2215
913,Deemo,2570,2565
913,tmt514,2385,2426
913,BigBag,2288,2354
913,Legilimens2023,2124,2232
913,1NCID3R,2089,2206
913,satashun,2303,2362
913,guille,2254,2326
913,tqyaaaaang,2414,2444
913,gisp_zjz,2089,2203
913,Andrew_Makar,2605,2586
913,300iq,2427,2452
913,djqtxdy,2171,2261
913,osmanorhan,2001,2136
913,ei133333,1962,2108
913,tbuzzelli,2160,2251
913,sd0061,2677,2636
913,Anadi,2452,2466
913,tribute_to_Ukraine_2022,2522,2518
913,percywtc,2227,2298
913,beet,2050,2167
913,Kaban-5,2724,2669
913,lexuanan,2361,2396
913,mango_lassi,2103,2204
913,hayk.saribekyan,1996,2126
913,1021839,1820,2000
913,adamant,1949,2091
913,pmnox,2088,2191
913,rndspec,1500,1780
913,ichyo,2356,2388
913,Yjsu,1974,2106
913,MicGor,2164,2244
913,luucasv,1949,2087
913,el_sanchez,2440,2448
913,mraron,1932,2074
913,IgorAkhmetov,2113,2205
913,Dukkha,1949,2085
913,leanil,1978,2105
913,krijgertje,2691,2634
913,Twishkle.Aevdark,2252,2305
913,wangck1998,1732,1930
913,pavel.savchenkov,2379,2399
913,atatomir,2417,2426
913,nike_007,1747,1939
913,StarCuriosity,2108,2196
913,sdnr1,2016,2129
913,QoT,1919,2058
913,Julek,2215,2274
913,akashdeep,2380,2395
913,Ivars,1956,2083
913,saba2000,1954,2081
913,Krydom_Yuudachi,2248,2296
913,ivan100sic,2235,2286
913,GT_18,2009,2119
913,zhouyuyang,2029,2134
913,fanache99,2297,2331
913,alex9801,2281,2318
913,Coder,2540,2512
913,Ali.Kh,1994,2106
913,nhho,2391,2399
913,Namnamseo,2164,2230
913,Jeel_Vaishnav,1879,2022
913,NikitaMikhaylov,1802,1967
913,woqja125,2329,2351
913,Kilani,1973,2088
913,freak93,2578,2537
913,DmitryBelikov,2227,2274
913,fmota,2079,2164
913,Vercingetorix,2519,2491
913,FallingStar,2088,2170
913,maximumSHOT,2179,2236
913,ToTLeS,2414,2411
913,y0105w49,2724,2645
913,Na2a,2198,2249
913,anayMehrotra,1874,2013
913,wangrq,1791,1954
913,Barichek,1944,2062
913,vilim_l,2046,2135
913,tanmay273,1867,2006
913,user202729_,2011,2109
913,paruki,1984,2089
913,gop2024,2198,2246
913,oversolver,2244,2280
913,shadowatyy,2200,2246
913,Akinorew,1934,2051
913,Farhod,1941,2056
913,Jakube,2130,2193
913,derkasperweint,1850,1990
913,hitman623,1956,2066
913,shpsi,2111,2178
913,Markellonchik,1835,1978
913,nuip,2502,2469
913,NourElRashidy,1996,2093
913,deva2802,2028,2116
913,Egor.Lifar,2250,2279
913,kondranin,2033,2119
913,q409257934,2030,2116
913,sokokaleb,1975,2076
913,KNB.,1726,1899
913,darksmith,2023,2110
913,meooow,1981,2079
913,YaKon4ick,2017,2104
913,LoneFox,2518,2478
913,AnotherRound,1714,1888
913,Jeffrey,2060,2135
913,mateuszdanowski,1725,1895
913,swenyoo,1910,2026
913,Adalbert,2102,2165
913,Aidos,2199,2236
913,aneesh2312,1969,2067
913,Temirulan,2218,2250
913,Ancient_mage,1885,2006
913,ayaze,2441,2416
913,WerKeyTom_FTD,1875,1998
913,Sunnat,2021,2103
913,VietaFan,1997,2085
913,teja349,2146,2194
913,ivanilos,1976,2069
913,kotamanegi,2001,2087
913,isaf27,2336,2335
913,yashChandnani,1981,2072
913,snuke,2411,2391
913,Pepe.Chess,2240,2262
913,_noname,2085,2147
913,renadeen,1845,1973
913,ForbesVictor,1950,2048
913,Filyan,1940,2040
913,sokian,2492,2450
913,IgorSmirnov,1956,2051
913,monsoon,2105,2160
913,EKGMA,1917,2022
913,ania,2407,2385
913,Lepton_s,2067,2131
913,komendart,2187,2219
913,kczno1,2024,2098
913,cz_xuyixuan,2236,2255
913,TheWayISteppedOutTheCar,1883,1996
913,Rafiki53,2037,2107
913,cerberus97,2087,2143
913,petrescu,2133,2177
913,wxy_z,2180,2212
913,lucaasdamaso,1952,2044
913,CoDeRoK,1929,2027
913,Haghani,2534,2477
913,KARM,1908,2011
913,MohamedZain,2082,2137
913,camypaper,2242,2256
913,voover,2479,2434
913,sanketM,1936,2030
913,MadNick,2298,2297
913,papa3,1971,2055
913,8shubham,2020,2090
913,sharph,2367,2348
913,kingofnumbers,2337,2325
913,yang12138,1899,2001
913,additya1998,1887,1992
913,yassin_,1953,2040
913,acdgyw400,1777,1914
913,bicsi,2301,2297
913,chemthan,2383,2358
913,mkisic,1987,2063
913,Pollux,1831,1951
913,SmallGirl,1678,1843
913,beefman,1512,1729
913,Howarli,1673,1839
913,koci,2091,2138
913,Ashishgup,2052,2109
913,rembocoder,2265,2267
913,hank55663,2122,2160
913,Timur_Sitdikov,2406,2373
913,kdh9949,2070,2121
913,AlexSkidanov,2285,2281
913,killjee,1895,1993
913,Hec,2216,2229
913,syzymon,1723,1870
913,shubhamvijay,1669,1833
913,TearinFree,1939,2024
913,dreamoon_love_AA,2700,2593
913,palayutm,2233,2240
913,pranet,2024,2085
913,kelement,1745,1884
913,alexlinzhai,2005,2070
913,raoxj,2051,2104
913,Bigsophie,2017,2079
913,paulwang,2222,2230
913,dima_z,1904,1996
913,Coroian_David,1726,1869
913,SaSa,2235,2239
913,Kreyyy,2149,2175
913,cheater2k,2126,2158
913,fabik,1956,2032
913,gazelle,1925,2010
913,Lewin,2537,2466
913,_xyz_,2001,2065
913,shoemakerjo,2128,2158
913,yashar_sb_sb,2091,2130
913,Heaplax,2091,2130
913,dlhham,2050,2100
913,lzr_010506,2208,2216
913,Chenghiz,2011,2070
913,Sehnsucht,1948,2024
913,imeimi,2096,2132
913,kr_abhinav,2008,2067
913,hamlet,2044,2093
913,Grunt,2008,2067
913,.I.,2114,2145
913,mateusz,2114,2145
913,Crucian,1928,2008
913,zhou888,1845,1948
913,Shavkat_Aminov,1768,1893
913,scopeInfinity,2026,2078
913,Giove,2144,2165
913,praeteriti,1500,1707
913,P___,1942,2017
913,Luqman,2049,2094
913,kalimm,2360,2326
913,ShinriiTin,2161,2177
913,olphe,1913,1995
913,SuperMegaUltraEpicHacker,1767,1890
913,espr1t,2029,2079
913,WildUtah,2046,2091
913,send_nodes,1930,2006
913,PolyProgrammist,1945,2017
913,Stelutzu,1706,1844
913,fchirica,1960,2026
913,Sanja,1937,2010
913,uxdsai050,2058,2098
913,Taube,2211,2212
913,Gnay_Oahnauhz,1900,1982
913,lmn0x4F,2129,2150
913,jklepec,1988,2046
913,Ahmad1,1930,2003
913,wasyl,1765,1885
913,Vladik,2133,2152
913,----------,1775,1891
913,usaxena95,1992,2048
913,JSZX11556,1983,2041
913,Pavs,1913,1990
913,ishsonya,2033,2077
913,Bodo,2028,2073
913,rui-de,2045,2086
913,FizzyDavicl,2365,2325
913,nxphuc,1869,1957
913,BENYAM1N,2006,2056
913,w8_m8,1980,2037
913,ntpbc,1830,1928
913,skydog,2057,2093
913,Usu,1511,1705
913,adedalic,2131,2147
913,Martynas,2059,2094
913,Marco_L_T,2122,2140
913,linjek,1836,1931
913,fefe,1791,1899
913,Gediminas,2004,2053
913,Gassa,2288,2264
913,Mikaeel,1827,1924
913,kostka,1837,1930
913,miha715lev,1925,1994
913,Policarpo,1557,1733
913,INVWVZ,1972,2028
913,little_waxberry,1912,1984
913,Franklyn_W,2120,2137
913,Liu_QY,1970,2025
913,easter.prince,1837,1929
913,jki14,2075,2103
913,FuDaSha,1759,1873
913,Zrj,2006,2050
913,The_Phenomenal_One,1959,2016
913,QAQAutoMaton,1696,1827
913,devanshg27,1981,2032
913,biGinNer,2153,2159
913,kjp4155,1930,1994
913,kotatsugame,1920,1987
913,__C__,1743,1859
913,_greedy,1906,1976
913,neither,2246,2228
913,Kalam,1919,1985
913,pranjal.ssh,2259,2238
913,Ralsei,1917,1983
913,alexyz,2033,2068
913,Roms,2173,2172
913,yukihana0416,1959,2014
913,FC_WIN,1932,1994
913,yic,2213,2202
913,osamahatem,1928,1990
913,p00r,1714,1837
913,busamate,1872,1949
913,how_to_become_purple,2143,2149
913,AomeII,2065,2090
913,mcprice30,1745,1857
913,platypus999,1963,2015
913,vbobrov,1930,1990
913,darkkcyan,2088,2106
913,ondrah,2079,2100
913,ifsmirnov,2477,2399
913,akmintro,1839,1923
913,krzysiek27,1970,2019
913,fwm94,2234,2215
913,afedor,1985,2029
913,DraZxlNDdt,2203,2191
913,konmaj,1873,1947
913,abc473848880,2105,2118
913,MaksymOboznyi,1553,1720
913,l_Love_KFC,1890,1958
913,Maho,1899,1965
913,ericxu0,2059,2082
913,letsbe,2234,2214
913,FoolMike,2405,2342
913,MinakamiMarisa,1974,2019
913,gs15120,1748,1855
913,Nickir,1775,1875
913,satanic0,1950,2001
913,cookiedoth,2080,2097
913,faustaadp,1738,1848
913,taow,2031,2060
913,fengsuiyan,2013,2047
913,kajebiii,2209,2193
913,samjia2000,2274,2242
913,Edwardnewgate,1680,1806
913,Kuzey,2058,2079
913,ChickenInKitchen,2006,2040
913,Elegia,1600,1749
913,Worldwide_D,2273,2240
913,lijiamu,1558,1720
913,Konijntje,2458,2379
913,vovacomua,2071,2088
913,zjczzzjczjczzzjc,2130,2132
913,vhnvn,1833,1913
913,fudail225,2057,2077
913,ansi_C,1722,1833
913,Thiagohnc,1934,1986
913,ppavic,1989,2026
913,longhuenchan,2024,2052
913,walkhorse,1886,1950
913,Vosatorp,1944,1992
913,erfan._.m,1835,1913
913,lebowski998,2002,2034
913,vas.and.tor,1894,1955
913,Mohammad_Kartoumeh,1908,1965
913,slonichobot,1839,1915
913,nmakeenkov,1817,1899
913,btk15049,1949,1995
913,RamTararam,2270,2234
913,Villen3tenmerth,1500,1676
913,Roberio,2136,2133
913,Astralpirate,1633,1767
913,ajs97,2068,2082
913,Jester,1557,1714
913,naij,1868,1934
913,Cyber,1711,1821
913,tinca_matei,1910,1965
913,nbdhhzh,2309,2262
913,Valiors,1645,1775
913,binsjl,1943,1988
913,yybyyb,1929,1978
913,Hyperbolic,1984,2018
913,khaled_ismaeel,1783,1872
913,Out_of_Cage,1908,1962
913,floreli,2020,2044
913,sunghoo,1745,1844
913,comunodi,1876,1938
913,fluffyowl,2018,2042
913,Hoi_koro,2047,2064
913,pawelek1,2283,2241
913,liji,1678,1796
913,yermak0v,1630,1761
913,tloinuy,1967,2004
913,yyc_,1866,1930
913,linkret,1914,1965
913,kingofbugs,1656,1779
913,rapurasu,1756,1850
913,duweihua,1842,1911
913,Svlad_Cjelli,2164,2150
913,Arg_007,1965,2001
913,milisav,1997,2024
913,please_delete_account,2377,2310
913,BaconLi,2815,2645
913,neerajbattan,1917,1965
913,albertg,1995,2022
913,PrashantM,2021,2041
913,mredigonda,1833,1904
913,Storminteacup,2025,2044
913,wakaka,2358,2294
913,wijae,1640,1765
913,MasterLuke,1690,1800
913,maks1906,2021,2040
913,pjgblt,1924,1969
913,13958806684,1540,1695
913,Srantik_13,1613,1746
913,wladw,1610,1743
913,yubowenok,2188,2164
913,satyaki3794,2162,2145
913,toxzi,1941,1980
913,ssor96,1894,1946
913,Igor_Zakharov,1625,1753
913,anta.baka,1906,1954
913,kirill_cmirnov,1753,1843
913,comfi,1935,1975
913,FalseMirror,1809,1883
913,HuaKeJiZhe,1998,2021
913,k1nval,1970,2000
913,mavd09,1998,2021
913,murugappan_s,1716,1816
913,Toxel,2285,2236
913,magieNoire,2009,2029
913,Remarque,1996,2019
913,mshcherba,1918,1961
913,OneDay_,1763,1848
913,CSTCurry,2011,2029
913,DOFY,1568,1711
913,FallenTurret,2066,2070
913,AlphaS,1869,1925
913,BrainDead,1906,1951
913,Sonechko,1924,1965
913,muratt,2216,2182
913,T_1610,1737,1828
913,indy256,1955,1987
913,Likulau,1801,1874
913,Nazikk,2030,2042
913,Ekler,1900,1946
913,Alireza,1704,1804
