contest_id,handle,old_rating,new_rating
776,ainta,2923,3118
776,tourist,3544,3534
776,LHiC,2839,2978
776,halyavin,2741,2886
776,jcvb,2623,2785
776,mnbvmar,3008,3059
776,uwi,2640,2776
776,jqdai0815,3300,3257
776,Syloviaely,2697,2802
776,Radewoosh,2896,2943
776,y0105w49,2880,2925
776,I_love_Tanya_Romanova,2888,2925
776,kefaa,2181,2400
776,ershov.stanislav,2827,2870
776,Golovanov399,2397,2548
776,unused,2371,2524
776,eatmore,2855,2878
776,Shik,2934,2933
776,savinov,2489,2600
776,lucyanna2018,2120,2328
776,Kostroma,2597,2673
776,JOHNKRAM,2361,2496
776,aid,2760,2788
776,mnaeraxr,2401,2519
776,gs12117,2653,2703
776,dreamoon_love_AA,2639,2690
776,AmberFrame,2192,2359
776,molamola.,2540,2612
776,pavel.savchenkov,2390,2499
776,wrong,2359,2474
776,rajat1603,2516,2587
776,Chloe_fan,2187,2344
776,Egor,2908,2876
776,Nezzar,2220,2364
776,yosupo,2373,2474
776,matthew99,3100,3014
776,DEGwer,2587,2628
776,tonyjjw,2317,2427
776,linkct,2258,2382
776,aaaaajack,2516,2571
776,eddy1021,2408,2489
776,voover,2402,2483
776,666sb666,2467,2529
776,Arterm,2561,2598
776,Murakumo,1829,2068
776,sokian,2455,2516
776,meteor,2115,2266
776,NikaraBika,2090,2247
776,I_Love_Tina,1998,2180
776,Laakeri,2542,2575
776,Lewin,2307,2400
776,DBradac,2409,2474
776,mareksom,2333,2416
776,ksun48,2478,2522
776,sugim48,2464,2511
776,zemen,2697,2683
776,vintage_Vlad_Makeev,2643,2642
776,Roberio,1936,2124
776,anta,2908,2839
776,Endagorion,2972,2886
776,_Reborn_,2226,2328
776,izban,2743,2712
776,webmaster,1996,2161
776,dragoon,2413,2463
776,Gassa,2398,2450
776,krismaz,2370,2429
776,SanSiroWaltz,2527,2544
776,ko_osaga,2662,2644
776,dotorya,2918,2836
776,azariamuh,2192,2294
776,Doju,2212,2308
776,Tinsane,2498,2518
776,I_love_tigersugar,2386,2434
776,OnionPringles,2352,2407
776,Belonogov,2794,2737
776,hogloid,2544,2549
776,Baba,2035,2174
776,zhsh,2182,2279
776,rembocoder,2185,2281
776,geniucos,2591,2580
776,victoragnez,2067,2193
776,PORONGON,1934,2098
776,irkstepanov,2383,2423
776,akulsareen,2350,2398
776,oversolver,2176,2269
776,ch_egor,2024,2158
776,zeliboba,2481,2493
776,sampriti,1813,2008
776,Kaban-5,2424,2448
776,natsugiri,2672,2634
776,HellKitsune,2750,2692
776,cyand1317,2314,2365
776,Ronnie007,2138,2235
776,khadaev,2666,2626
776,sunset,1940,2092
776,ania,2379,2410
776,cescmentation_folch,2070,2183
776,PrashantM,1996,2129
776,ajs97,2065,2178
776,paulwang,2265,2323
776,collares,2099,2201
776,hashlife,1923,2074
776,la1la1la,2265,2321
776,david942j,2319,2360
776,Ginko,1500,1785
776,Konijntje,2436,2446
776,yancouto,2404,2421
776,kpw29,2255,2310
776,MadNick,2191,2262
776,AnonymousBunny,2145,2228
