contest_id,handle,old_rating,new_rating
724,jqdai0815,3285,3367
724,matthew99,3001,3100
724,eatmore,2660,2826
724,SkyDec,2306,2554
724,ershov.stanislav,2667,2800
724,subscriber,2896,2957
724,black_horse2014,2699,2803
724,Zlobober,2861,2914
724,LHiC,2952,2974
724,Endagorion,2949,2966
724,RomaWhite,2982,2985
724,savinov,2480,2611
724,Um_nik,3047,3024
724,DPR-pavlin,2300,2471
724,Vercingetorix,2601,2685
724,yeguanghao,1948,2211
724,voover,2336,2484
724,Shik,2603,2676
724,Herzu,2609,2677
724,TeaPot,2622,2683
724,Kostroma,2692,2731
724,kmjp,2371,2493
724,totsamyzed,2497,2582
724,bmerry,2840,2833
724,el_sanchez,2575,2634
724,ilyakor,2671,2702
724,tun,2458,2543
724,marcorezieho,2121,2295
724,izban,2521,2585
724,lzr010506,1898,2133
724,sd0061,2677,2696
724,aid,2723,2728
724,xhk,2071,2248
724,rnsiehemt,2309,2418
724,Merkurev,2716,2717
724,ODT,2038,2218
724,knightL,2503,2556
724,DBradac,2519,2566
724,Belonogov,2662,2670
724,Arterm,2682,2683
724,danilka.pro,2575,2602
724,sokian,2198,2323
724,data_h,2506,2548
724,V--o_o--V,2750,2728
724,Vladyslav,2052,2212
724,Coder,2616,2625
724,xyz2606,2524,2555
724,riadwaw,2711,2694
724,Mektpoy,2065,2216
724,FatalEagle,2771,2736
724,tonyjjw,2439,2487
724,RNS_CUS,2227,2329
724,IMAN_GH,2173,2288
724,Nero,2403,2456
724,ikatanic,2837,2780
724,andrew.volchek,2313,2387
724,TearsFreeze,1911,2096
724,fsouza,2475,2505
724,Kaban-5,2606,2601
724,consecutivelimit,2210,2307
724,poursoul,2154,2265
724,Dylans,1990,2146
724,AndreiNet,2309,2376
724,khadaev,2301,2369
724,dreamoon_love_AA,2596,2587
724,zemen,2615,2601
724,adamant,2259,2335
724,IvL,2441,2469
724,pwypeanut,2454,2478
724,uwi,2598,2584
724,Sumeet.Varma,2360,2406
724,2222,2333,2385
724,Kmcode,2047,2175
724,-XraY-,2754,2698
724,Flaze_,1444,1766
724,OnionPringles,2230,2305
724,amethyst0,2209,2289
724,microtony,2179,2266
724,enot110,2437,2456
724,Gromah,2085,2195
724,eddy1021,2647,2611
724,RNS_JKS,2052,2170
724,komendart,2443,2457
724,Tima,2135,2228
724,arsijo,2312,2358
724,azukun,2395,2419
724,MrDindows,2485,2485
724,animeshf,2030,2148
724,.o.,2300,2346
724,BigBag,2397,2417
724,KrK,2361,2389
724,Tehnar,2306,2348
724,CS_LYJ1997,1912,2061
724,dozbear,1914,2062
724,Remilia-Scarlet1,2144,2225
724,linrunbo,1796,1978
724,Carups,2175,2247
724,I_love_Hoang_Yen,2469,2465
724,Aviously,1923,2065
724,maopao,2131,2213
724,IHaveInt,1946,2079
724,sqr_hussain,1923,2062
724,IlyaLos,2388,2401
724,kraskevich,2416,2420
724,ngfam_kongu,2412,2417
724,KADR,2686,2623
724,rajat1603,2079,2170
724,JustasK,2234,2283
724,Aidos,2440,2436
724,UsedToBe,2381,2390
724,fqw,2412,2414
724,-imc-,2334,2354
724,NVAL,2329,2350
724,ballon,2201,2255
724,Rubanenko,2178,2237
724,Kumiko,2014,2118
724,ikbal,2194,2247
724,Meirambek,2089,2170
724,StarCuriosity,2133,2202
724,YakutovDmitriy,2266,2299
724,saketh,2343,2356
724,aasddf,2630,2571
724,budro,2366,2372
724,sokokaleb,2150,2211
724,RoKi,2003,2104
724,chihiro,1965,2076
724,rembocoder,1907,2035
724,never_giveup,2002,2102
724,RAVEman,2835,2724
724,netman,2466,2443
724,MadNick,2158,2213
724,egor_bb,2131,2193
724,budalnik,2436,2419
724,keyvankhademi,1943,2056
724,MZuev,2102,2169
724,kingofnumbers,1993,2090
724,I_love_tigersugar,2350,2353
724,Twishkle.Aevdark,1830,1974
724,cuiaoxiang,1976,2077
724,Eclipse,2095,2162
724,Antoniuk,2009,2100
724,20140355,1916,2033
724,shilov,1962,2065
724,Sehnsucht,2052,2129
724,Deemo,2592,2531
724,guoyu1098,2222,2253
724,sempav,2047,2123
724,ngochai94,2139,2191
724,Sammarize,2190,2227
724,Taube,2368,2360
724,TsReaper,2056,2128
724,anudeep2011,2085,2149
724,Oryshych,2080,2145
724,boleyn.su,2210,2240
