contest_id,handle,old_rating,new_rating
1075,mrscherry,1722,2031
1075,Kekmaster,1807,2056
1075,brandonzhang,1894,2097
1075,ponda,1781,2006
1075,---Grigor---,1862,2051
1075,_no0B,1820,2014
1075,xX_ucfNOTpt_Xx,1746,1956
1075,bgrm,1826,2004
1075,batyrkhan14,1861,2023
1075,KCSC,1500,1780
1075,megaspazz,1851,2007
1075,buri_buri_zaemon_,1850,2002
1075,Tokyo_Drift,1871,2013
1075,Dewu4u,1817,1972
1075,alexander89116,1893,2022
1075,Qwerty132,1823,1970
1075,Veirisa,1838,1977
1075,amirrr,1856,1987
1075,Sorting,1850,1980
1075,sergmiller,1747,1907
1075,I-Love-Islam,1834,1964
1075,dastan,1826,1956
1075,ForbesVictor,1759,1908
1075,andrew,1860,1976
1075,Stasana,1807,1937
1075,Shlyapnik41lv,1677,1847
1075,SelenaGomez,1684,1849
1075,fdoer,1844,1957
1075,wewuwa9,1500,1726
1075,Silver_Fox,1885,1983
1075,despotovski01,1850,1956
1075,Akel,1676,1835
1075,khikiat,1873,1969
1075,creep04,1893,1982
1075,yassin_,1877,1969
1075,fauzdar65,1771,1894
1075,0xc3,1548,1744
1075,imAnik,1872,1962
1075,Lawali,1860,1952
1075,hearthewsong,1806,1913
1075,JovanB,1838,1934
1075,incognito_,1863,1951
1075,Liiiov_V,1595,1766
1075,Baqtraqking,1848,1938
1075,maras,1751,1869
1075,SA111,1641,1793
1075,SaucyJohn,1896,1968
1075,plaviajvar,1742,1859
1075,Deathly__Hallows,1852,1935
1075,lrvideckis,1850,1933
1075,mukel,1798,1895
1075,IF_IR_A_1_IR,1883,1954
1075,mkmkl93,1871,1945
1075,Vlad1k,1800,1894
1075,Beast_Within,1890,1956
1075,Fake.Puppet,1749,1856
1075,Kranya,1791,1884
1075,Devil,1893,1956
1075,Sumeet.Shirgure,1899,1958
1075,vaibhav138,1706,1823
1075,pavlekn,1891,1952
1075,Firebat,1857,1927
1075,virus_1010,1896,1954
1075,old_boo,1724,1832
1075,bartkaw,1852,1921
1075,shroooom,1710,1821
1075,zacker-22,1845,1914
1075,Gorix,1858,1923
1075,Fly_37,1884,1941
1075,sggutier,1884,1940
1075,s1dor,1550,1710
1075,oleg76,1628,1760
1075,reej,1829,1898
1075,-osdajigu-,1800,1877
1075,wolfib,1876,1931
1075,nchn27,1565,1716
1075,Rahul,1738,1832
1075,vsriram1012,1738,1831
1075,sameerpai,1761,1846
1075,baobab,1553,1705
1075,sunnylancoder,1823,1889
1075,awesomeday,1796,1869
1075,Dmit_riy,1799,1870
1075,vibhav,1726,1819
1075,plutorider,1800,1870
1075,endlessSecond,1682,1787
1075,end83,1877,1924
1075,cbosch_carlgauss,1861,1912
1075,Shaykhutdinov-T-I,1619,1743
1075,A.Magdy7,1865,1913
1075,Wazemo,1539,1688
1075,tubone,1864,1911
1075,danza,1787,1856
1075,kashkevich,1799,1864
1075,r57shell,1635,1750
1075,begv,1781,1850
1075,Huvok,1771,1842
1075,barni120400,1891,1928
1075,ltf0501,1873,1914
1075,kzvd4729,1764,1836
1075,satyam.pandey,1831,1883
1075,vebgor,1729,1810
1075,mircea85,1823,1876
1075,Igor_Zakharov,1768,1836
1075,tikul,1828,1878
1075,Bogdanisar,1853,1896
1075,BinaryBoy,1796,1855
1075,Hasan,1807,1862
1075,deepak1527,1650,1751
1075,so_ra,1634,1741
1075,zeyunow,1686,1776
1075,shreya12830,724,1210
1075,massoud8032000,1686,1775
1075,ramchandra,1831,1876
1075,Slow_But_Determined,1871,1905
1075,valeriy227,1794,1849
1075,Khalid545,1736,1807
1075,aayush9,1891,1918
1075,Artemut,1832,1875
1075,HJPEV,1517,1657
1075,ExperienceD,1589,1705
1075,Rafaelcs,1802,1852
1075,xingal,1666,1756
1075,GreedyMind,1500,1644
1075,0_marchuk,1672,1759
1075,Degalat57,1898,1920
1075,copyrightpoiiiii,1656,1747
1075,limed,1734,1801
1075,sikander_nsit,1573,1690
1075,Ezio07,1718,1789
1075,EpicGuy,1818,1859
1075,nmnmnmnmnmnmnm,1660,1748
1075,cjc,1633,1729
1075,Riqirez,1814,1855
1075,Potsanchik,1400,1575
1075,universe-,1872,1897
1075,fuck_you_,1459,1612
1075,jasony123123,1652,1740
1075,seo,1825,1861
1075,teamskiy,1802,1844
1075,SkullKnight,1766,1818
1075,arshad2117,1886,1904
1075,Ret,1844,1873
1075,eidan,1827,1861
1075,Zaher,1818,1854
1075,Z8N,1731,1791
1075,stanley17112000,1538,1659
1075,Allen_3,1820,1854
1075,tusharjape007,1575,1683
1075,seiko.iwasawa,1809,1845
1075,Issh,1405,1571
1075,Nickir,1810,1845
1075,Osaaama,1740,1795
1075,Bunny_Six_Foolish,1696,1763
1075,titia,1719,1779
1075,Adish_Agarwal,1710,1773
1075,JonasAAA,1852,1874
1075,printul,1783,1824
1075,aniket9465,1788,1827
1075,wwdd,1500,1628
1075,VladimirLi,1729,1784
1075,introverted,1741,1792
1075,ryuxin,1604,1697
1075,Usu,1848,1869
1075,patak,1739,1790
1075,arman_ferdous,1736,1788
1075,LittleKoala,1877,1889
1075,Scale,1580,1679
1075,Bergrei,1566,1669
1075,4llower,1635,1715
1075,mrz,1725,1778
1075,e2e4b6b7,1596,1688
1075,ZloyHR,1730,1781
1075,Rokas_,1833,1855
1075,serg3232,1889,1895
1075,Information_schema,1795,1826
1075,NiksD,1421,1571
1075,ajs97,1817,1842
1075,honya121,1717,1770
1075,KerimKochekov,1837,1856
1075,CurbStomp,1816,1840
1075,Aleks,1740,1785
1075,admarkov,1814,1838
1075,dasdull,1863,1873
1075,AcPlusOne,1827,1847
1075,taeyeon_kim,1500,1619
1075,mostafa_9a7c2,1730,1776
1075,okwedook,1844,1858
1075,mr.stefan,1881,1885
1075,AcidWrongDog,1611,1692
1075,DarkoDu,1500,1617
1075,drastogi21,1752,1790
1075,tesst,1696,1750
1075,chikibambonator,1529,1635
1075,Andres_Alumets,1899,1897
1075,sam7007,1574,1665
1075,shubham__36,1833,1848
1075,icpc_loser,1500,1614
1075,walama,1824,1840
1075,staffik,1899,1895
1075,theboatman,1574,1663
1075,snacache,1776,1805
1075,flyman3046,1819,1835
1075,ReaLNero1,1736,1775
1075,eu3neuom,1882,1881
1075,DeD_TihoN,1771,1800
1075,dmkz,1823,1837
1075,savelyevlad,1577,1663
1075,apostoldaniel854,1631,1700
1075,Minaa,1770,1798
1075,gtpan77,1761,1791
1075,TheOneYouWant,1624,1694
1075,Obada-AlAbbadi,1793,1814
1075,Reem,1823,1836
1075,Demesne,1625,1694
1075,sievra,1712,1755
1075,AngrySeal,1779,1803
1075,mmestrovic,1696,1743
1075,NoDesire,1722,1761
1075,Drozd_off,1722,1761
1075,hopcroftkarp,1856,1858
1075,mihil2701,1775,1798
