contest_id,handle,old_rating,new_rating
1044,tourist,3312,3401
1044,scott_wu,3149,3217
1044,ecnerwala,2871,2987
1044,RomaWhite,2852,2947
1044,Errichto,2668,2799
1044,Petr,3176,3140
1044,ACRush,2739,2810
1044,qwerty787788,2807,2843
1044,Arterm,2557,2656
1044,ksun48,3141,3066
1044,ilyakor,2695,2725
1044,desert97,2552,2613
1044,LHiC,3141,3040
1044,matthew99,2878,2829
1044,Marcin_smu,2885,2826
1044,Kostroma,2898,2828
1044,zxqfl,2576,2575
1044,ikatanic,2691,2651
1044,waterfall,2325,2376
1044,liymbear,2347,2379
1044,Fdg,2578,2538
1044,chenmark,2254,2290
1044,azneyes,2260,2281
1044,neal,2654,2571
1044,xiaowuc1,2314,2294
1044,liympanda,2489,2419
1044,KADR,2619,2517
1044,YerzhanU,2053,2055
1044,LiChenKoh,2183,2132
1044,fmqjpt,2367,2270
1044,balakrishnan,2030,1950
