contest_id,handle,old_rating,new_rating
1054,mnbvmar,3111,3246
1054,Um_nik,3104,3194
1054,V--o_o--V,3056,3133
1054,LHiC,3158,3190
1054,Lewin,2393,2612
1054,Endagorion,2775,2883
1054,SpyCheese,3020,3053
1054,dotorya,3060,3074
1054,jqdai0815,3327,3264
1054,scott_wu,3063,3062
1054,ksun48,2906,2940
1054,budalnik,2408,2564
1054,dreamoon_love_AA,2573,2681
1054,irkstepanov,2354,2514
1054,Reyna,2327,2489
1054,Zhukov_Dmitry,2375,2520
1054,zemen,2830,2854
1054,Kostroma,2825,2847
1054,ainta,3032,2998
1054,aid,2693,2741
1054,jcvb,3031,2991
1054,gamegame,2635,2691
1054,al13n,2619,2677
1054,krijgertje,2788,2800
1054,maroonrk,2558,2625
1054,molamola.,2985,2942
1054,Shef,2354,2469
1054,Aeon,2479,2559
1054,Alex_2oo8,2588,2638
1054,uwi,2636,2671
1054,snuke,2486,2557
1054,ezLadder,2246,2379
1054,Nikitosh,2640,2668
1054,eatmore,2697,2708
1054,amethyst0,2622,2650
1054,Merkurev,2739,2736
1054,JiK,2354,2448
1054,majk,2586,2618
1054,kpw29,2329,2426
1054,queria_ser_abella,2378,2460
1054,zscoder,2677,2681
1054,Fdg,2547,2582
1054,mjhun,2585,2609
1054,cookiedoth,2365,2444
1054,pparys,2467,2518
1054,KrK,2598,2614
1054,rtilikay,2133,2271
1054,hank55663,2204,2320
1054,998kover,2418,2476
1054,yashChandnani,2186,2304
1054,kaldiuo,2281,2372
1054,rui-de,2146,2273
1054,dario2994,2587,2596
1054,ThePilgrim,2223,2326
1054,kimden,2277,2364
1054,SYury,2416,2465
1054,Coder,2509,2533
1054,hloya_ygrt,2246,2337
1054,Xellos,2300,2376
1054,kmjp,2468,2498
1054,maximumSHOT,2229,2322
1054,IndianICPC-Joke.,2130,2249
1054,Subconscious,2365,2419
1054,ismagilov.code,2125,2243
1054,riadwaw,2387,2433
1054,nhho,2520,2531
1054,voover,2533,2540
1054,alex9801,2437,2467
1054,mariand,2204,2294
1054,gop2024,2129,2239
1054,natsugiri,2486,2500
1054,mango_lassi,2307,2367
1054,Wild_Hamster,2465,2483
1054,saba2000,2427,2454
1054,Motarack,2358,2402
1054,Alexandr_TS,2304,2361
1054,wa1tz719,2366,2406
1054,Errichto,2819,2744
1054,I_love_tigersugar,2290,2348
1054,f.bialas,2326,2374
1054,.ckodser.,2004,2139
1054,radoslav11,2186,2269
1054,kefaa,2356,2393
1054,-is-this-fft-,2189,2269
1054,NBAH,2090,2197
1054,bbatti93,2213,2286
1054,mHuman,2244,2307
1054,RAVEman,2624,2590
1054,Lollipop,2171,2253
1054,mmaxio,2749,2682
1054,Weeeee,2036,2154
1054,sqrtdecompton,2352,2383
1054,test616.cpp,2280,2329
1054,shoemakerjo,2048,2160
1054,tamionv,2216,2281
1054,kalimm,2413,2425
1054,teleport,2361,2385
1054,glebushka98,2165,2241
1054,Dmitriy.Belichenko,2175,2248
1054,_LeMur_,2126,2211
1054,chemthan,2437,2440
1054,Bodo,2039,2147
1054,Luma,2103,2193
1054,nigus,2279,2320
1054,pperm,2275,2317
1054,rotavirus,2282,2321
1054,kostka,2335,2360
1054,sokian,2230,2282
1054,Pakalns,2090,2178
1054,mnaeraxr,2426,2426
1054,scanhex,2550,2518
1054,teja349,2396,2402
1054,lbn187,2432,2428
1054,AllCatsAreBeautiful,2455,2445
1054,awoo,2127,2202
1054,aropan,2406,2407
1054,leaomatheus,2200,2254
1054,afedor,2247,2288
1054,scorpion,2272,2306
1054,zyfzyf,2024,2124
1054,anpans,2099,2178
1054,sava-cska,2196,2248
1054,georgerapeanu,1943,2064
1054,fdironia,1793,1958
1054,alexey.enkov,2079,2160
1054,Egor,2754,2663
1054,SoMuchDrama,2238,2276
1054,kessido,2104,2177
1054,TrumPence,2195,2243
1054,Shik,2898,2769
1054,Akulyat,2224,2263
1054,TadijaSebez,2182,2232
1054,Hiasat,2144,2204
1054,veschii_nevstrui,2160,2215
1054,zxozxo4,2271,2296
1054,fgcos,2436,2418
1054,bazsi700,2363,2363
1054,Deemo,2630,2563
1054,Kita_The_Dragon,2191,2235
1054,lezdzh,2312,2324
1054,nuip,2379,2373
1054,edisonhello,2314,2324
1054,Hasan0540,2070,2144
1054,Gassa,2406,2392
1054,iakovlev.zakhar,2203,2240
1054,espr1t,2088,2156
1054,xh286286,2064,2138
1054,sadovan,2322,2327
1054,AghaTizi,2208,2242
1054,ggoh,2112,2171
1054,boook,2304,2312
1054,koganeser,2159,2205
1054,dragoon,2308,2314
1054,Nazikk,2201,2235
1054,xiaowuc1,2287,2298
1054,Markellonchik,2228,2254
1054,MrDindows,2575,2513
1054,neal,2512,2465
1054,dorijanlendvaj,2040,2115
1054,MofK,2466,2430
1054,TwoFx,2297,2302
1054,Noam527,2214,2240
1054,Lebossle,1996,2081
1054,RUSH_D_CAT,2174,2210
1054,Egor.Lifar,2177,2212
1054,adamant,2175,2210
1054,GreenGrape,2047,2116
1054,131131yhx,2344,2334
1054,SaSa,2105,2157
1054,cerberus97,2414,2386
1054,skylinebaby,2074,2134
1054,M.Mahdi,2237,2253
1054,tanphatls987,2360,2344
1054,TheFallenOne,2055,2118
1054,Nero,2052,2116
1054,bekzhan29,2496,2446
1054,Sonechko,2190,2216
1054,ajinkya1p3,2037,2104
1054,ATS,2359,2341
