contest_id,handle,old_rating,new_rating
458,tourist,3213,3260
458,rng_58,2795,2848
458,sevenkplus,2563,2637
458,pompon,2087,2257
458,Arterm,2407,2500
458,Petr,2770,2786
458,TeaPot,2309,2419
458,Baklazan,2210,2342
458,vepifanov,2747,2756
458,aaaaajack,2121,2272
458,cgy4ever,2580,2620
458,Sisu,2301,2406
458,sdya,2512,2564
458,W4yneb0t,2460,2523
458,Fdg,2192,2321
458,bmerry,2560,2594
458,fhlasek,2165,2300
458,Rubanenko,2184,2312
458,tuna_salad,2320,2411
458,logicmachine,2187,2312
458,ValenKof,2366,2442
458,SirShokoladina,2365,2440
458,dreamoon_love_AA,2538,2562
458,liympanda,2422,2478
458,LoneFox,2427,2480
458,IvL,2399,2458
458,LayCurse,2496,2525
458,enot110,2428,2476
458,InheritO,2089,2231
458,ngfam_kongu,2282,2370
458,Vercingetorix,1914,2098
458,mexmans,2151,2274
458,hjx1212,2133,2260
458,White_Bear,2407,2452
458,eatmore,2461,2486
458,scottai1,2397,2442
458,Furko,2026,2178
458,msg555,2555,2542
458,azizkhan,2250,2337
458,Shapo,2155,2269
458,drazil,2097,2227
458,yeti,1920,2095
458,mislav_bradac,2265,2344
458,Vlad_kv,1932,2103
458,wilyin,2103,2227
458,witua,2521,2505
458,skrydg,2193,2289
458,HUST_LAZ,2102,2224
458,HellKitsune,2030,2172
458,Nerevar,2402,2425
458,zhanyl,2273,2338
458,hlwt,2256,2326
458,woshilalala,1977,2130
458,Shangke7788,2005,2150
458,Nezzar,1996,2142
458,ffao,2201,2285
458,HIR180,2249,2315
458,zeliboba,2120,2228
458,UESTC_Nocturne,2425,2424
458,tabasz,2001,2142
458,forest,2017,2153
458,yuusti,2113,2219
458,izban,2442,2427
458,ArmanK,2020,2153
458,Vaness,1911,2073
458,flashmt,2407,2402
458,I_love_Tanya_Romanova,2349,2366
458,mnbvmar,2406,2398
458,anudeep2011,1884,2050
458,MrDindows,2154,2239
458,Errichto,2274,2315
458,pva701,2141,2229
458,dragoon,2170,2247
458,Enchom,2129,2219
458,csehydrogen,2016,2141
458,sd0061,2136,2222
458,mR.ilchi,2425,2394
458,chxm,1740,1933
458,nono,1937,2082
458,orzsd0061,1890,2047
458,kraskevich,2443,2400
458,fruwajacybyk,2079,2179
458,matrix,2084,2181
458,Mars314,1808,1983
458,ilyakor,2492,2437
458,Nanaya,2231,2272
458,cxlove,2141,2215
458,__math,2112,2195
458,Fcdkbear,2246,2277
458,Heart_Blue,1908,2054
458,sluki,1777,1955
458,vladi,1811,1981
458,package.zaic,2159,2220
458,iridescent,2147,2212
458,yutaka1999,2355,2331
458,tracyhenry,2089,2173
458,malcolm,2345,2323
458,koratel,2052,2147
458,YerzhanU,2097,2176
458,uwi,2497,2434
458,kybconnor,2189,2232
458,Simplex,2096,2174
458,WanderingID,2042,2137
458,kcm1700,2483,2420
458,BSBandme,2266,2270
458,Egor,2474,2411
458,ainta,2331,2304
458,Um_nik,2419,2365
458,Bobik,2416,2361
458,pavel.savchenkov,2016,2115
458,JayYe,2078,2153
458,PineappleHead,2092,2162
458,ballon,2245,2249
458,liouzhou_101,2268,2261
458,TIanLiangLe,2191,2218
458,cmd,2370,2321
458,Jimanbanashi,2128,2179
458,LLI_E_P_JI_O_K,2105,2164
458,Avalanche,2216,2227
458,kllp,1913,2037
458,akim,1808,1962
458,marat.snowbear,2247,2241
458,Ra16bit,2303,2268
458,pavellevap,2060,2132
458,Mikester,1965,2069
458,mmaxio,2462,2393
458,znirzej,2090,2147
458,cvm,1751,1915
458,BigBag,1873,2004
458,miketcyue,2266,2241
458,Haghani,2086,2141
458,Corea,1979,2073
458,JohnPaulII,2049,2117
458,HiaHiaHia,1595,1788
458,nenu_xlp,1539,1739
458,andrew.volchek,2246,2225
458,Antoniuk,1914,2027
458,Nikitosh,2231,2215
458,KrK,2291,2246
458,aid,2148,2169
458,AndreiNet,1954,2051
458,I_love_tigersugar,2206,2198
458,al13n,2490,2410
458,Xiaodongdong,2105,2141
458,netman,2192,2189
458,Rebryk,1723,1883
458,tanakh,1737,1894
458,aquamongoose,2172,2175
458,HentaiPrince,1821,1954
458,zhsh,1873,1990
458,yosupo,2100,2132
458,OpalDshawn,2218,2193
458,AndreySiunov,1942,2034
458,Ilya_MSU,2103,2131
458,KADR,2296,2243
458,wzkim,1608,1788
458,WCG,2121,2138
458,razia_sultana,2017,2078
458,Monyura,2079,2113
458,EbTech,2122,2136
458,Misha100896,1928,2020
458,SeyedParsa,2004,2067
458,fksquare,2125,2135
458,SF-_-,1834,1955
458,Vladyslav,2162,2153
458,mareksom,2343,2278
458,sivukhin,2210,2175
458,cbx,2061,2095
458,behzad.nouri,2018,2070
458,ershov.stanislav,2194,2164
458,Shtrix,2094,2111
458,falanga,1736,1880
458,M0sTik,1754,1892
458,EvgeniSergeev,1929,2011
458,Neodym,1761,1896
458,elshiko,1741,1881
458,zerokugi,2250,2197
458,Kira96,1910,1997
458,helThazar,2079,2096
458,wanbo,1869,1968
458,MinakoKojima,2137,2125
458,riadwaw,2175,2142
458,---Grigor---,2097,2102
458,PugachAG,1937,2010
458,For_the_Love,2047,2074
458,azukun,1982,2036
458,yetiii,2023,2059
458,sfiction,2119,2110
