contest_id,handle,old_rating,new_rating
859,jqdai0815,3146,3288
859,Petr,3048,3163
859,eatmore,2739,2906
859,tourist,3488,3438
859,Golovanov399,2541,2729
859,halyavin,2886,2968
859,dotorya,2878,2952
859,Um_nik,3157,3150
859,majk,2419,2602
859,LHiC,3238,3196
859,PavelKunyavskiy,2710,2799
859,scott_wu,2909,2940
859,SpyCheese,2961,2973
859,ainta,2665,2750
859,ilyakor,2526,2644
859,Benq,2519,2635
859,izban,2662,2735
859,zeliboba,2554,2652
859,TeaPot,2616,2693
859,ikatanic,2716,2763
859,AndreySergunin,2352,2495
859,anta,2935,2920
859,Endagorion,2720,2757
859,aid,2622,2682
859,ksun48,2722,2753
859,Lewin,2558,2629
859,IvL,2602,2659
859,krismaz,2466,2557
859,winger,2661,2697
859,ecnerwala,2772,2777
859,V--o_o--V,2813,2806
859,orz,1708,2010
859,Shik,2742,2748
859,matthew99,2826,2810
859,geniucos,2582,2626
859,dreamoon_love_AA,2808,2792
859,Vercingetorix,2608,2641
859,pashka,2562,2605
859,zxqfl,2676,2688
859,al13n,2843,2811
859,ifsmirnov,2504,2557
859,Nikitosh,2313,2416
859,Reyna,2643,2656
859,uwi,2687,2688
859,KADR,2611,2629
859,Factorio,2305,2403
859,voover,2564,2592
859,I_love_Tanya_Romanova,3063,2965
859,zemen,2765,2739
859,never_giveup,2406,2471
859,Belonogov,2732,2711
859,kingofnumbers,2098,2244
859,zscoder,2482,2522
859,mareksom,2311,2394
859,marat.snowbear,2304,2389
859,Anadi,2394,2453
859,kmjp,2410,2464
859,pwypeanut,2347,2415
859,Seemann,2384,2442
859,mhss,2300,2379
859,RAD,2449,2487
859,Jimanbanashi,2090,2224
859,Merkurev,2556,2564
859,koratel,2270,2352
859,sdya,2743,2702
859,hohomu,2082,2214
859,--d,2489,2510
859,I_love_tigersugar,2400,2443
859,vlecomte,2241,2325
859,sevenkplus,2503,2517
859,knightL,2508,2520
859,Kostroma,2667,2638
859,nhho,2404,2440
859,JustasK,2571,2563
859,dario2994,2365,2410
859,KrK,2554,2549
859,RAVEman,2573,2562
859,flashmt,2183,2273
859,Kaban-5,2427,2451
859,tqyaaaaang,2359,2400
859,yzyz,2293,2351
859,osmanorhan,1919,2079
859,Mediocrity,2206,2285
859,HellKitsune,2585,2565
859,BSBandme,2310,2359
859,ch_egor,2341,2381
859,msg555,2470,2476
859,Trem,2008,2137
859,ToTLeS,2337,2376
859,komendart,2281,2333
859,Oleg_Smirnov,2326,2366
859,Egor.Lifar,2169,2249
859,papa3,2113,2208
859,rembocoder,2261,2315
859,SnapDragon,1882,2039
859,chemthan,2521,2507
859,Balajiganapathi,2214,2278
859,JiK,2068,2171
859,Livace,2060,2164
859,alecsyde,2349,2375
859,MPeti,2102,2192
859,imaxblue,2111,2199
859,SYury,2153,2229
859,__math,2369,2386
859,platypus179,2058,2158
859,kajebiii,2158,2230
859,_M_,2052,2152
859,f.bialas,2211,2267
859,lexuanan,2383,2394
859,aropan,2359,2375
859,Tima,2332,2354
859,MyLegendaryTime,1955,2078
859,cephian,2193,2250
859,Alexandr_TS,2074,2163
859,snuke,2787,2695
859,GaryYe,2124,2198
859,chenmark,2095,2176
859,slavik,2373,2380
859,cwy,2114,2188
859,Ilya_MSU,2339,2353
859,LiChenKoh,2202,2251
859,olphe,1910,2038
859,Ahmad_Elsagheer,2296,2319
859,yarrr,2205,2252
859,radoslav11,2361,2366
859,Roberio,1955,2068
859,dragoon,2273,2300
859,TiChuot97,2215,2256
859,Svlad_Cjelli,2009,2105
859,chpipis,2007,2103
859,floreli,1953,2063
859,Ronnie007,2252,2281
859,spencer,2283,2303
859,rajat1603,2470,2443
859,ditoly,2431,2413
859,Kasia,2098,2165
859,kb.,2297,2311
859,samuelfgs,2002,2094
859,ajs97,2071,2143
859,afaji321,1991,2085
859,ericxu0,2206,2242
859,ZhNV,2400,2385
859,khokho,1935,2043
859,woqja125,2171,2214
859,Taube,2306,2314
859,aurinegro,2286,2298
859,gprano,1906,2019
859,Johnny_2002,2094,2155
859,bezhimr,2110,2166
859,NgocHai,2172,2211
859,kalimm,2334,2331
859,ngfam_kongu,2277,2288
859,Man,2028,2104
859,Quang,2288,2295
859,zx2003,2060,2126
859,PattS,2112,2164
859,teofr,1718,1879
859,surwdkgo,2429,2399
859,DPR-pavlin,2485,2441
859,dzhulgakov,2607,2532
859,masonsbro,1934,2031
859,maximumSHOT,2055,2119
859,YuriHehe,1665,1838
859,sahedsohel,1886,1995
859,KungA,2297,2296
859,ivan100sic,2336,2325
859,Rydberg,2109,2156
859,please_delete_account,2191,2216
859,Aeon,2094,2144
859,-Wave-,2058,2117
859,Zailton,1982,2061
859,f1u77y,1858,1971
859,MZuev,2291,2287
859,PaidySung,1908,2005
859,maksay,2184,2207
859,Wild_Hamster,2386,2358
859,ckr,1611,1793
859,RamTararam,2221,2233
859,azneyes,1908,2003
859,shengdebao,2026,2088
859,athin,2307,2296
859,FLDutchman,1858,1965
859,sqrtdecompton,2205,2219
859,Kroma,1850,1959
859,MicGor,2144,2173
859,cjtoribio,2303,2291
859,sanketM,1800,1921
859,Feeey,1817,1933
859,wucebrayne,1878,1976
859,Z0RR0,2000,2065
859,aditya1701,1972,2044
859,SaveVMK,1972,2043
859,leign,1926,2009
859,kvk1920,1871,1969
859,_grandmaster_,1839,1945
859,MyLeg,1890,1982
859,yum,1951,2026
859,300iq,2449,2396
859,Skird,2232,2232
859,isaf27,2251,2245
859,gangsterveggies,2099,2132
859,SEGFAULTSEGFAULTSEGFAULT,2096,2130
859,SameerGulati,2170,2184
859,hehaodele,2250,2243
859,pperm,2171,2184
859,atomicenergy,1895,1981
859,savinov,2532,2456
859,Rawnd,1825,1929
859,FatalEagle,2667,2558
859,nuip,2415,2366
859,azukun,2533,2455
859,animeshf,2116,2140
859,amethyst0,2451,2392
859,e-maxx,2348,2313
859,Aidos,2324,2295
859,Hasan0540,2199,2200
859,xolm,2121,2142
859,Mhammad1,2010,2060
859,farmersrice,1834,1931
859,HackerTina,2073,2105
859,bayleef,2483,2413
859,Hasan,1722,1849
859,ivanilos,1949,2013
859,Sehnsucht,1942,2007
859,apoorv_kulsh,1902,1977
859,zzxzxzzxz,1834,1928
859,mika,2121,2138
859,Gayle,1572,1741
859,codename27,1926,1994
859,gop2024,2120,2136
859,Hailo,1997,2045
859,massoud8032000,1542,1719
859,_LeMur_,1935,1999
859,TomConerly,2103,2122
859,riadwaw,2671,2552
859,fmota,2035,2071
859,nikhil96sher,1821,1914
859,polingy,1965,2019
859,rodz,1819,1912
859,NoWoDeYo,2027,2064
859,pavel.savchenkov,2273,2247
859,nanicode,1713,1835
859,Danylo99,1790,1890
859,Nots0fast,1838,1924
859,percywtc,2229,2213
859,irkstepanov,2479,2401
859,BIT-silence,2024,2059
859,victoreis,1737,1849
859,Tribbiani,1781,1881
859,Auster,2116,2126
859,GemaSanchao,1657,1791
859,Rostislav_the_great,2034,2064
859,flatline,2084,2101
859,no_name_weak_vegetable,2344,2296
859,rtilikay,2076,2094
859,gvaibhav21,2275,2243
859,nhtrnm,1997,2035
859,Qumeric,1850,1927
859,misztsu,1942,1994
859,Aviously,2107,2116
859,CaptainDick,1500,1678
859,wrinx,2229,2207
859,teja349,2080,2095
859,Milanin,2435,2362
859,redocyz,2014,2045
859,netman,2319,2273
859,hiThere23,1888,1952
859,bitcom,1883,1948
859,Kuyan,2052,2071
859,nikola12345,1964,2006
859,Hiasat,2124,2125
859,logicmachine,2376,2315
859,xiaowuc1,2472,2387
859,Woreviam,1845,1918
859,pyru,1831,1907
859,xen,1947,1992
859,fetetriste,2143,2137
859,MoHib85,1922,1973
859,cmd,2278,2238
859,Jhamra,1882,1943
859,Orenji.Sora,2239,2208
859,Policarpo,1685,1800
859,architkarandikar,2241,2209
859,PraveenDhinwa,1973,2008
859,codelegend,2023,2045
859,Mamedov,1980,2013
859,AlphaS,1734,1833
859,lebowski998,1975,2008
859,sanyamg123,1677,1792
859,adamos2468,1423,1616
859,k1nval,2082,2087
859,littlel,1558,1707
859,step_by_step,2356,2293
859,mango_lassi,1897,1949
859,sas4eka,2152,2138
859,shoemakerjo,1642,1764
859,toomas,1926,1970
859,kittylover,2027,2044
859,Anton_Chernev,1779,1862
859,klamathix,2188,2164
859,natalia,2092,2091
859,x.bryanc,2039,2052
859,kostka,1991,2015
859,Mohammad_Yasser,2161,2143
859,tedeschi,1914,1958
859,antkhorin,1951,1985
859,lord_bendtner,1980,2006
859,iakovlev.zakhar,1853,1913
859,nickpros,1530,1681
859,saba2000,2064,2068
859,TonySnark,2154,2135
859,zcg.cs60,2275,2226
859,fshjtri6749,1695,1797
859,Kammola,1899,1945
859,VladaMG98,2171,2147
859,Ret,1814,1882
859,Grunt,2108,2099
859,nns2009,1842,1902
859,Giada,1767,1846
859,Noam527,1790,1863
859,Jones.Polynomial1,1678,1782
859,akmintro,1932,1966
859,Jatana,2079,2075
859,spetsnaz,1515,1666
859,Zoli9,2080,2075
859,sgtlaugh,1842,1899
859,SureYeaah,1966,1990
859,Gediminas,1910,1948
859,Honour_00,1944,1973
859,ryo_issy,2036,2041
859,Knight_of_Thirteen,1751,1831
859,Tutis,1990,2007
859,heklo,1936,1966
859,glebushka98,2224,2182
859,P___,1661,1765
859,taxicoo,1835,1891
859,jtnydv25,2174,2143
859,ajecc,1852,1903
859,cahilfil,1695,1789
859,LoppA,1897,1936
859,sup_bro,1800,1864
859,ondrah,2018,2025
859,eagle93,1830,1885
859,rednivrug15,1941,1967
859,femto16,1969,1987
859,Solvation,1556,1688
859,Lucca30,1444,1610
859,Thiagohnc,1689,1782
859,leaomatheus,1863,1908
859,kondranin,2232,2184
859,WillyPillow,1742,1819
859,pomo_mondreganto,1732,1811
859,fanKarpaty,1953,1973
859,WNG,1654,1755
859,OmarBazaraa,1674,1769
859,Akababa,1576,1699
859,matrix,2168,2134
859,dusty.and.rusty,1981,1993
859,StarCuriosity,2225,2176
859,Khazhak,1996,2003
859,JeffreyLC,1934,1957
859,fsshakkhor,1900,1932
859,noxwell,2131,2104
859,kimden,1928,1952
859,petrescu,2146,2115
859,Slamur,2122,2097
859,urusant,2056,2046
859,PuRpLe_FoReVeR,1793,1852
859,16_duna_8,1587,1703
859,Minnakhmetov,1793,1851
859,TooDumbToWin,2123,2096
859,wolfib,1891,1922
859,I_See_You,1887,1919
859,maks1906,1962,1974
859,marcospaulo,1975,1984
859,fmqjpt,1983,1990
859,Karasick,1617,1722
859,Omar_Morsi,1964,1975
859,prion,2006,2006
859,SoSad,2008,2007
859,Milad,1791,1847
859,temp_array,1500,1639
859,naveen_iitr,1957,1969
859,Martynas,2025,2019
859,I_hate_PWN,1982,1987
859,Paul-Andre,1939,1954
859,AndreySiunov,2138,2104
859,Hamzqq9,1795,1848
859,aandrew,2006,2004
859,RockyB,1830,1873
859,abid1,1461,1609
859,LeMieux,2029,2020
859,durt,1959,1968
859,Zrj,2061,2044
859,nuit,1883,1911
859,mHuman,2207,2154
859,SoMuchDrama,2096,2070
859,lsantire,1835,1875
859,Eliden,1978,1980
859,TwoFx,1896,1919
859,intrepidcoder,1859,1892
859,lessmeaning,1919,1936
859,cjoa,1900,1921
859,jonathanwoenardi,1640,1731
859,Shimatsukaze,1950,1958
859,ikbal,2226,2166
859,Affina,1945,1954
859,dai,2266,2196
859,RedNextCentury,1952,1958
859,Cro-Marmot,1675,1755
859,NMouad21,1446,1594
859,Hyperbolic,1757,1814
859,NEU20133823,1848,1880
859,ksohan,1352,1531
859,predelnik,1653,1738
859,DmitriyH,1977,1976
859,vodanhna,1979,1977
859,KieranHorgan,1649,1734
859,ABalobanov,2214,2154
859,The_Phenomenal_One,1996,1989
859,bovinophile,1699,1770
859,RiHL,1911,1925
859,Piccolo,1964,1964
859,zyyorz,1880,1902
859,stefansav,1848,1878
859,okura,1842,1873
859,BaturaDima,1680,1754
859,Leonid,1899,1915
859,aayushkapadia,1703,1770
859,mrEDitor,1731,1791
859,tloinuy,2021,2006
859,alexwice,2004,1992
859,shanin,2015,2000
859,mayankp,1580,1681
859,vipsharmavip,1823,1857
859,melyshu,1500,1624
859,jyuno426,1790,1832
859,shadowatyy,2237,2167
859,alkil,1745,1799
859,tkostek,2115,2074
859,riad,1932,1936
859,dhe128,1521,1638
859,Kuzey,2109,2069
859,ordan,1949,1948
859,Diego,1777,1821
859,ankeet,1850,1874
859,Kallaseldor,1638,1719
859,Nishimiya,1958,1954
859,dmnsn7,1962,1957
859,Azuz,1472,1602
859,Badpad,1762,1808
859,OgieKako,2074,2041
859,lkfurjmfh,1484,1609
859,trungnq,1676,1745
859,These,1735,1788
859,TheConfessor,1929,1931
859,ReZero,1535,1644
859,I_love_MikhailRubinchik,1850,1872
859,INVWVZ,2039,2013
859,knk,1650,1725
859,znarT,1812,1843
859,limed,1935,1934
859,kyleliu,1931,1931
859,Yongaron,1581,1675
859,UnstoppableChillMachine,1796,1830
859,mruczek,1835,1859
859,sohelH,1900,1907
859,ujzwt4it,1920,1922
859,KArs,2023,1999
859,DenXman111,1869,1883
859,fnch,2064,2029
859,_42,1882,1892
859,Barichek,2182,2119
859,Svyat,2323,2226
859,BarbaraCortes,1478,1600
859,ErzhaNN,1640,1714
