contest_id,handle,old_rating,new_rating
866,tourist,3411,3496
866,Petr,3163,3248
866,ksun48,2753,2911
866,halyavin,2968,3051
866,Arterm,2725,2854
866,jqdai0815,3333,3291
866,uwi,2697,2810
866,majk,2602,2732
866,Benq,2508,2656
866,Laakeri,2506,2648
866,dreamoon_love_AA,2729,2802
866,Um_nik,3070,3049
866,saketh,2358,2524
866,krijgertje,2601,2692
866,zemen,2670,2737
866,eatmore,2789,2820
866,dario2994,2410,2541
866,tun,2700,2746
866,LHiC,3199,3113
866,Feeey,1933,2207
866,ikatanic,2706,2740
866,t90tank,2298,2443
866,KrK,2651,2693
866,rembocoder,2257,2407
866,Shik,2881,2858
866,bugCollector,2006,2231
866,Rydberg,2156,2328
866,MrDindows,2447,2530
866,JustasK,2607,2644
866,ainta,2786,2775
866,linpaws,2068,2257
866,woqja125,2214,2354
866,LoneFox,2325,2430
866,natsugiri,2668,2677
866,atatomir,2295,2404
866,Kostroma,2573,2603
866,masonsbro,2031,2217
866,ecnerwala,2694,2688
866,mango_lassi,1857,2103
866,V--o_o--V,2741,2719
866,pperm,2184,2312
866,matthew99,2827,2781
866,Seyaua,2224,2336
866,SakurakoujiRuna,2340,2417
866,Reyna,2656,2648
866,xman1024,2262,2358
866,simsa.st,2211,2320
866,Factorio,2435,2479
866,Merkurev,2719,2689
866,bayleef,2413,2460
866,Tinsane,2434,2473
866,microtony,2174,2285
866,ohweonfire,2308,2379
866,ditoly,2413,2453
866,satyaki3794,2168,2276
866,MinakoKojima,2089,2220
866,300iq,2396,2437
866,cdkrot,2303,2367
866,PavelKunyavskiy,2799,2736
866,e-maxx,2313,2372
866,Livace,2219,2303
866,Heisenbug,1933,2107
866,Rafiki53,2168,2264
866,Shimatsukaze,1958,2120
866,percywtc,2213,2293
866,imaxblue,2199,2281
866,mhss,2445,2459
866,djqtxdy,2079,2194
866,hohomu,2195,2275
866,nuip,2366,2397
866,karanaggarwal,1995,2134
866,I_love_Tanya_Romanova,2726,2665
866,kmjp,2404,2422
866,Sundar,1909,2074
866,newgate,1916,2077
