contest_id,handle,old_rating,new_rating
325,Dmitry_Egorov,2397,2533
325,Petr,2654,2718
325,bmerry,2544,2610
325,Marcin_smu,2209,2337
325,vepifanov,2468,2536
325,watashi,2426,2497
325,meret,2627,2655
325,hirosegolf,2114,2255
325,cerealguy,2541,2582
325,Shik,2363,2442
325,TLERush,1653,1906
325,MinakoKojima,2221,2331
325,pavel.savchenkov,1748,1978
325,Ra16bit,2251,2351
325,mR.ilchi,2364,2434
325,LayCurse,2374,2442
325,Egor,2717,2692
325,romanandreev,2266,2357
325,pperm,2256,2349
325,FattyPenguin,2113,2243
325,kelvin,2506,2528
325,Anton_Lunyov,2466,2497
325,Smylic,2177,2286
325,tmt514,2509,2524
325,plusplus7R,1653,1899
325,GingLe,1669,1911
325,dzhulgakov,2569,2559
325,yeputons,2607,2582
325,maciejk,2230,2317
325,aropan,2218,2308
325,James,2168,2271
325,Monyura,2160,2264
325,pershik,1825,2024
325,yarrr,2201,2291
325,naagi,1844,2037
325,dj3500,2078,2203
325,sleepycoder,2040,2175
325,Psyho,2037,2172
325,mkirsche,1834,2027
325,sas4eka,1882,2061
325,xiaowuc1,1938,2100
325,kennethsnow,1963,2117
325,Kenny_HORROR,2247,2313
325,shiyuankongbu,1511,1777
325,HIR180,1807,2004
325,Gassa,2234,2300
325,dreamoon_love_AA,2386,2398
325,bayleef,2355,2376
325,UESTC_Nocturne,2284,2329
325,hex539,2099,2204
325,komarov,1626,1866
325,Shef,2263,2313
325,mmaxio,2271,2315
325,Shapo,2236,2292
325,kAc,2213,2275
325,winger,2288,2323
325,fetetriste,1906,2066
325,pkhaustov,2206,2267
325,I_love_natalia,2189,2255
325,fhlasek,2248,2292
325,lostRating,2136,2218
325,Aksenov239,2132,2215
325,forest,2014,2136
325,rowdark,2182,2245
325,Ruslan,1977,2110
325,al13n,2607,2538
325,lovro,2142,2217
325,liympanda,2400,2375
325,vlady,1682,1901
325,fatsheep_LF,1887,2047
325,ACube,2243,2275
325,__math,1804,1986
325,it4.kp,2130,2204
325,a58,1996,2115
325,forifchen,1938,2076
325,mugurelionut,2341,2326
325,seanwu,2192,2238
325,kolesov93,2035,2137
325,indy256,1965,2091
325,TeaPot,1856,2018
325,evima,2315,2304
325,gawry,2360,2329
325,caustique,1975,2096
325,W4yneb0t,1838,2002
325,e-maxx,2268,2273
325,aquamongoose,2103,2173
325,iwiwi,2261,2265
325,AleX,2206,2233
325,chokudai,2154,2201
325,DamianS,2122,2182
325,NuM,2176,2212
325,burunduk3,2344,2303
325,sillyboy,2123,2179
