contest_id,handle,old_rating,new_rating
335,tourist,3072,3121
335,RAD,2518,2590
335,scott_wu,2587,2633
335,yaro,2191,2299
335,DamianS,2399,2462
335,White_Bear,2190,2289
335,LayCurse,2442,2490
335,aa2985759,2184,2282
335,kawatea,2200,2293
335,Psyho,2302,2372
335,Kenny_HORROR,2389,2438
335,UESTC_Nocturne,2251,2329
335,Mimino,2245,2322
335,iwiwi,2265,2338
335,Dmitry_Egorov,2556,2558
335,gojira,2339,2390
335,Kepnu4,1976,2108
335,sankear,2282,2343
335,Rubanenko,2033,2150
335,916852,2018,2138
335,dancho,2037,2151
335,wrong,2320,2365
335,thocevar,2014,2132
335,Egor,2649,2603
335,GlebsHP,2432,2440
335,chavit,2272,2322
335,Milanin,2303,2343
335,ilyakor,2338,2367
335,sivukhin,2029,2137
335,bayleef,2327,2355
335,cjtoribio,1958,2081
335,lastenX,2130,2210
335,Fcdkbear,2145,2219
335,dreamoon_love_AA,2208,2264
335,Auster,1988,2100
335,krijgertje,1933,2057
335,ivan100sic,1846,1988
335,marspeople,2122,2196
335,NALP,2164,2225
335,yongheng5871,1856,1994
335,malcolm,2043,2135
335,AnnKats93,1914,2037
335,dut200901102,1977,2084
335,Xellos,1943,2058
335,havaliza,2161,2217
335,James,2327,2327
335,navi,2250,2276
335,hex539,2204,2241
335,Ra16bit,2374,2351
335,sspa,2006,2099
335,hhoomn,1996,2090
335,E478,1762,1911
335,ftiasch,2264,2274
335,windhunterSB,2102,2163
335,nrg3,1898,2014
335,evima,2265,2271
335,uwi,2319,2303
335,savinov,1922,2029
335,tyamgin,2074,2139
335,aquamongoose,2099,2154
335,kutengine,1915,2022
335,_sunny,1961,2056
335,ahmed_aly,1902,2010
335,ChuckLin2014,2174,2199
335,alapshin,1737,1882
335,Ilya_MSU,2053,2116
335,feyat,1853,1970
335,espr1t,2183,2200
335,snuke,2122,2159
335,I_love_Tanya_Romanova,2081,2131
335,stevenkplus,2218,2219
335,Monmoy,1975,2055
335,FattyPenguin,2144,2168
335,Smit,1790,1917
335,sillyboy,2179,2189
335,Acko,2001,2070
335,klamathix,1847,1958
335,michal27,2021,2081
335,ngfam_kongu,1990,2059
335,azaky,2091,2127
335,witua,2202,2195
335,gawry,2298,2254
335,takapt,1883,1980
335,mR.ilchi,2340,2288
335,rowdark,2318,2269
335,akashin,1934,2014
335,msg555,2267,2225
335,mexmans,2226,2199
335,pperm,2349,2293
335,handojo1,2041,2082
335,moshiur,1929,2007
335,Burunduk1,2288,2240
335,kraskevich,2059,2091
335,rock_lee,1757,1877
335,Ruslan,2110,2120
335,A.K.Goharshady,2025,2066
335,arosusti,1941,2009
335,andrew.volchek,1889,1972
335,cacophonix,1546,1703
335,xing89qs,1783,1893
335,theBlindMonk,2016,2056
335,PattS,2263,2215
335,MeinKraft,2081,2094
335,WCG,1782,1889
335,lawsonh,1672,1804
335,pompon,1718,1839
335,kuangbin,1839,1930
335,Reshetnikov_Ivan,2055,2072
335,dvdreddy,1722,1840
335,phtniit,2161,2133
335,dusty.and.rusty,1985,2025
335,Angor,1831,1920
335,OpalDshawn,2119,2105
335,alpc104,1827,1915
335,TeaPot,2151,2121
335,Goofy57,2058,2066
335,jolteon,1947,1995
335,zec23456,1745,1852
335,sdryapko,1994,2023
335,Slevin,2112,2093
335,I_love_tigersugar,1804,1893
335,izban,2091,2079
335,luohao251,1648,1773
335,wanbo,1794,1884
335,flashmt,2214,2162
335,dawidp,1917,1968
335,Ryannnnnnn,1859,1927
335,HYPERHYPERHYPERCUBELOVER,1703,1813
335,Skyly,1942,1981
335,architkarandikar,1958,1990
335,tworuler,1760,1854
335,Belonogov,2033,2035
335,EG0R,1448,1598
335,Monyura,2229,2172
335,voover,2437,2347
335,helThazar,2030,2029
335,2010031220,1687,1796
335,lyc,2257,2194
335,sohelH,1782,1865
335,Jimanbanashi,2146,2100
335,meteorcloudy,1777,1859
335,thnkndblv,1759,1846
335,Omelianenko,1767,1851
335,hanfei19910905,2102,2061
335,Alex_2oo8,2029,2019
335,DemiGuo,1819,1885
335,luyuncheng,1655,1764
335,mustafij,1690,1791
335,Cromel,1908,1942
335,Taube,1936,1958
335,OmniLRenegadE,1758,1839
335,gvalentiny,1624,1736
335,xtalclr,2286,2213
335,RoBa,1911,1939
335,ant.ermilov,1838,1892
335,Quelloquialism,1700,1793
335,sweiss,2087,2044
335,riadwaw,2128,2077
335,Swistakk,2075,2033
335,SteamTurbine,2296,2219
335,Corei13,1817,1873
335,alpc172,2045,2010
335,kawazaki,1870,1906
335,Vladyslav,1986,1976
335,pershik,1966,1965
335,nuoyan2010,1559,1677
335,AlexAlvarez,1946,1949
335,mystery_boy,1651,1748
335,BlazWin,1703,1787
335,liympanda,2368,2276
335,Um_nik,1886,1910
335,zhyang,1868,1898
335,BekzhanKassenov,1554,1668
335,VUAcoder,1822,1866
