id,name,type,phase,frozen,durationSeconds,startTimeSeconds,relativeTimeSeconds
2018,Codeforces Round 975 (Div. 1),CF,FINISHED,False,9000,1727444100,25418
2019,Codeforces Round 975 (Div. 2),CF,FINISHED,False,9000,1727444100,25418
2014,Codeforces Round 974 (Div. 3),ICPC,FINISHED,False,8100,1726929900,539618
2013,Codeforces Round 973 (Div. 2),CF,FINISHED,False,7200,1726842900,626618
2017,2024 ICPC World Finals: JetBrains Tech Trek,ICPC,FINISHED,False,2580,1726548420,921098
2005,Codeforces Round 972 (Div. 2),CF,FINISHED,False,7200,1726324500,1145018
2009,Codeforces Round 971 (Div. 4),ICPC,FINISHED,False,9000,1725374100,2095418
2008,Codeforces Round 970 (Div. 3),ICPC,FINISHED,False,8100,1725201300,2268218
2006,Codeforces Round 969 (Div. 1),CF,FINISHED,False,9000,1725028500,2441018
2007,Codeforces Round 969 (Div. 2),CF,FINISHED,False,9000,1725028500,2441018
2010,Testing Round 19 (Div. 3),ICPC,FINISHED,False,2700,1724877300,2592218
2003,Codeforces Round 968 (Div. 2),CF,FINISHED,False,7200,1724596500,2873018
2001,Codeforces Round 967 (Div. 2),CF,FINISHED,False,7200,1724164500,3305018
2004,Educational Codeforces Round 169 (Rated for Div. 2),ICPC,FINISHED,False,7200,1723732500,3737018
2000,Codeforces Round 966 (Div. 3),ICPC,FINISHED,False,8100,1723560000,3909518
2002,EPIC Institute of Technology Round August 2024 (Div. 1 + Div. 2),CF,FINISHED,False,10800,1723386900,4082618
1998,Codeforces Round 965 (Div. 2),CF,FINISHED,False,7200,1723300500,4169018
1999,Codeforces Round 964 (Div. 4),ICPC,FINISHED,False,8700,1722954900,4514618
1993,Codeforces Round 963 (Div. 2),CF,FINISHED,False,7200,1722782100,4687418
1997,Educational Codeforces Round 168 (Rated for Div. 2),ICPC,FINISHED,False,7200,1722350100,5119418
1991,Pinely Round 4 (Div. 1 + Div. 2),CF,FINISHED,False,10800,1722177300,5292218
1996,Codeforces Round 962 (Div. 3),ICPC,FINISHED,False,9000,1722004500,5465018
1995,Codeforces Round 961 (Div. 2),CF,FINISHED,False,7200,1721745300,5724218
1990,Codeforces Round 960 (Div. 2),CF,FINISHED,False,7200,1721486100,5983418
1994,Codeforces Round 959 sponsored by NEAR (Div. 1 + Div. 2),CF,FINISHED,False,7200,1721313300,6156218
1988,Codeforces Round 958 (Div. 2),CF,FINISHED,False,7200,1721054100,6415418
1992,Codeforces Round 957 (Div. 3),ICPC,FINISHED,False,8100,1720708500,6761018
1983,Codeforces Round 956 (Div. 2) and ByteRace 2024,CF,FINISHED,False,8100,1720362900,7106618
1987,EPIC Institute of Technology Round Summer 2024 (Div. 1 + Div. 2),CF,FINISHED,False,10800,1719758100,7711418
1989,Educational Codeforces Round 167 (Rated for Div. 2),ICPC,FINISHED,False,7200,1719498900,7970618
1982,"Codeforces Round 955 (Div. 2, with prizes from NEAR!)",CF,FINISHED,False,7200,1719326100,8143418
1986,Codeforces Round 954 (Div. 3),ICPC,FINISHED,False,8100,1719154200,8315318
1978,Codeforces Round 953 (Div. 2),CF,FINISHED,False,7200,1718528700,8940818
1985,Codeforces Round 952 (Div. 4),ICPC,FINISHED,False,9000,1718116500,9353018
1984,Codeforces Global Round 26,CF,FINISHED,False,10800,1717943700,9525818
1979,Codeforces Round 951 (Div. 2),CF,FINISHED,False,7200,1717684500,9785018
1980,Codeforces Round 950 (Div. 3),ICPC,FINISHED,False,8100,1717425300,10044218
1981,Codeforces Round 949 (Div. 2),CF,FINISHED,False,7200,1717149900,10319618
1976,Educational Codeforces Round 166 (Rated for Div. 2),ICPC,FINISHED,False,7200,1717079700,10389818
1977,Codeforces Round 948 (Div. 2),CF,FINISHED,False,7200,1716734100,10735418
1975,Codeforces Round 947 (Div. 1 + Div. 2),CF,FINISHED,False,10800,1716647700,10821818
1974,Codeforces Round 946 (Div. 3),ICPC,FINISHED,False,8100,1716215700,11253818
1973,Codeforces Round 945 (Div. 2),CF,FINISHED,False,7200,1715956500,11513018
1958,Kotlin Heroes: Episode 10,ICPC,FINISHED,False,9000,1715610900,11858618
1971,Codeforces Round 944 (Div. 4),ICPC,FINISHED,False,8100,1715351700,12117818
1959,Kotlin Heroes: Practice 10,ICPC,FINISHED,False,511200,1715096100,12373418
1953,2023 Post World Finals Online ICPC Challenge powered by Huawei,IOI,FINISHED,False,1472400,1715007600,12461918
1970,"Helvetic Coding Contest 2024 online mirror (teams allowed, unrated)",ICPC,FINISHED,False,16200,1714806300,12663218
1968,Codeforces Round 943 (Div. 3),ICPC,FINISHED,False,8100,1714661100,12808418
1967,Codeforces Round 942 (Div. 1),CF,FINISHED,False,9000,1714487700,12981818
1972,Codeforces Round 942 (Div. 2),CF,FINISHED,False,9000,1714487700,12981818
1969,Educational Codeforces Round 165 (Rated for Div. 2),ICPC,FINISHED,False,7200,1714401300,13068218
1965,Codeforces Round 941 (Div. 1),CF,FINISHED,False,7200,1714228500,13241018
1966,Codeforces Round 941 (Div. 2),CF,FINISHED,False,7200,1714228500,13241018
1957,Codeforces Round 940 (Div. 2) and CodeCraft-23,CF,FINISHED,False,8100,1713710100,13759418
1956,Codeforces Round 939 (Div. 2),CF,FINISHED,False,7200,1713018900,14450618
1954,Educational Codeforces Round 164 (Rated for Div. 2),ICPC,FINISHED,False,7200,1712932500,14537018
1955,Codeforces Round 938 (Div. 3),ICPC,FINISHED,False,8100,1712586900,14882618
1951,Codeforces Global Round 25,CF,FINISHED,False,10800,1712414100,15055418
1952,April Fools Day Contest 2024,ICPC,FINISHED,False,7200,1711982100,15487418
1942,"CodeTON Round 8 (Div. 1 + Div. 2, Rated, Prizes!)",CF,FINISHED,False,10800,1711809300,15660218
1950,Codeforces Round 937 (Div. 4),ICPC,FINISHED,False,8100,1711637100,15832418
1949,"European Championship 2024 - Online Mirror (Unrated, ICPC Rules, Teams Preferred)",ICPC,FINISHED,False,18000,1711274400,16195118
1946,Codeforces Round 936 (Div. 2),CF,FINISHED,False,7200,1711118100,16351418
1945,Codeforces Round 935 (Div. 3),ICPC,FINISHED,False,8100,1710835500,16634018
1943,Codeforces Round 934 (Div. 1),CF,FINISHED,False,8700,1710599700,16869818
1944,Codeforces Round 934 (Div. 2),CF,FINISHED,False,8700,1710599700,16869818
1948,Educational Codeforces Round 163 (Rated for Div. 2),ICPC,FINISHED,False,7200,1710513300,16956218
1941,Codeforces Round 933 (Div. 3),ICPC,FINISHED,False,8100,1710167700,17301818
1940,"XVIII Open Olympiad in Informatics - Final Stage, Day 2 (Unrated, Online Mirror, IOI rules)",IOI,FINISHED,False,18000,1709975100,17494418
1939,"XVIII Open Olympiad in Informatics - Final Stage, Day 1 (Unrated, Online Mirror, IOI rules)",IOI,FINISHED,False,18000,1709888700,17580818
1935,Codeforces Round 932 (Div. 2),CF,FINISHED,False,7200,1709649300,17820218
1938,"2024 ICPC Asia Pacific Championship - Online Mirror (Unrated, Online Mirror, ICPC Rules, Teams Preferred)",ICPC,FINISHED,False,18000,1709346900,18122618
