contest_id,handle,old_rating,new_rating
46,Petr,2240,2279
46,tourist,2341,2351
46,Burunduk1,1911,2055
46,rng_58,2159,2210
46,tomekkulczynski,1943,2070
46,Romka,1885,2034
46,KADR,2035,2110
46,Ra16bit,2184,2217
46,yeputons,1968,2078
46,ilyakor,2203,2222
46,iwiwi,2166,2194
46,Gerald,1925,2045
46,LinesPrower,1731,1938
46,taras.klaskovsky,1725,1938
46,yaro,1827,1984
46,syco,2074,2125
46,filix,1856,2000
46,SpookyCookie,2125,2146
46,RAVEman,2173,2167
46,voover,1816,1973
46,watashi,1500,1797
46,tomerun,1865,1994
46,Dmitry_Egorov,1839,1973
46,suesfxg,1500,1794
46,AlTimin,1952,2034
46,maksay,2100,2108
46,ivan.metelsky,2029,2059
46,dragoon,1921,2015
46,PavelKunyavskiy,2171,2135
46,S.Yesipenko,1892,1995
46,Matt,1685,1894
46,ACube,1656,1878
46,slycelote,2043,2061
46,AleX,2105,2084
46,dolphinigle,1946,1997
46,jbernadas,1964,2016
46,pank.dm,1831,1954
46,alger95,1722,1897
46,Borisp,1832,1952
46,Fdg,1935,1984
46,uwi,1929,1994
46,YuukaKazami,1968,2009
46,nodchip,1876,1963
46,Shtrix,1777,1918
46,ralekseenkov,1634,1854
46,Sereja,1720,1889
46,kate1543,1625,1847
46,x-ray,1903,1963
46,vlad107,1827,1930
46,ballon,1825,1927
46,cmd,1917,1963
46,jozheg_archived,1673,1855
46,mislav,1677,1863
46,scottai1,1872,1941
46,ptrrsn_1,1637,1807
46,superkinhluan,1500,1760
46,sevenkplus,1710,1873
46,ahmed_aly,1726,1878
46,adhirajsomani,1500,1752
46,sjtu_pigoneand,1713,1855
46,SobolS,1500,1742
46,Sergey.Bankevich,1662,1838
46,mekagem,1636,1837
46,DDDDDDDDDDDDDDDDDDDDDDDD,1804,1904
46,sankear,1964,1961
46,Duc,1536,1788
46,Thekid,1979,1960
46,Seemann,1841,1910
46,kefir,1653,1836
46,juver,1693,1844
46,Connector,1806,1892
46,Dener,1732,1863
46,yvasyliv,1774,1864
46,OgieKako,1746,1866
46,allocator,1675,1790
46,roticv,1500,1719
46,P___,1697,1843
46,abkqz,1972,1933
46,diver_ru,1953,1925
46,LayCurse,2126,2022
46,Medium,1809,1877
46,CherryTree,1867,1859
46,goldvitaly,1500,1733
46,mhung,1500,1725
46,IvayloS,1847,1884
46,Kenny_HORROR,1833,1866
46,Rasifiel,1637,1798
46,kusano,1745,1849
46,SergeyLazarev,1840,1878
46,sidky,1811,1852
46,zyx3d,1697,1816
46,Shady,1517,1754
46,slavik,1728,1811
46,Scalar,1501,1746
46,ksjuchi,1577,1765
46,ArchMaG,1685,1820
46,Knight,1929,1867
46,NikitaD,1669,1813
46,Andrew_Makar,1537,1744
46,kuzmichev_dima,1685,1816
46,sky58,1930,1878
46,iroro,1738,1827
46,Zlobober,1715,1806
46,Sigmar,1500,1694
46,Rubanenko,1697,1808
46,yuscvscv,1603,1773
46,PanZverski,1725,1811
46,evg-zhabotinsky,1599,1759
46,huyuanming11,1644,1781
46,Avalanche,1746,1810
46,Shapo,1500,1701
46,yzq110abc,1681,1788
46,akashin,1741,1803
46,macs,1908,1837
46,kohyatoh,1835,1822
46,bogatrv,1619,1752
46,july,1733,1795
46,pshtanko,1554,1727
46,---Grigor---,1886,1826
46,Snich,1640,1754
46,chadnov,1500,1683
46,zzldjk,1783,1805
46,Commandos,1648,1766
46,vanchope,1510,1714
46,fhlasek,1868,1820
46,portal,1541,1717
46,Unicorn,1549,1727
46,Mark_tven,1632,1753
46,knock-knock,1569,1730
46,Timus,1630,1742
46,Chaker,1500,1671
46,julsa,1348,1620
46,map,1693,1764
46,nadeem,1796,1785
46,AndreySiunov,1807,1786
46,Renderhp,1382,1635
46,etendren,1779,1762
46,lordklotski,1500,1670
46,ddldyj237,1676,1748
46,paulik,1500,1669
46,Copymaster,1921,1825
46,hs484,1743,1764
46,mavr,1595,1722
46,ant.ermilov,1600,1724
46,GR1n,1796,1761
46,tigvarts,1598,1720
46,Ruslan,1655,1740
46,antonkov,1690,1739
46,rankalee,1803,1761
46,acerwei,1655,1729
46,pt1989,1632,1722
46,cjc,1634,1721
46,lala,1500,1653
46,KrK,1605,1711
46,shilov,1577,1694
46,pragrame,1500,1651
46,xelez,1548,1690
46,rizar,1690,1729
46,MDvedh,1685,1726
46,Spoorock,1741,1735
46,hrkksym,1613,1706
46,BLIZZARD,1617,1705
46,yak_ex,1694,1721
46,rofi,1569,1688
46,rudradevbasak,1710,1722
46,zpl1,1726,1723
46,Aman,1471,1648
46,Obaida,1427,1628
46,Farzam,1592,1692
46,haker4o,1842,1758
46,dimoc,1563,1674
46,Deryugin,1401,1611
46,Berestinsky,1673,1705
46,hasi,1723,1704
46,vilcheuski,1510,1658
46,Ch0W,1699,1698
46,mongolrgata,1525,1662
46,A.K.Goharshady,1687,1704
46,shioshiota,1593,1683
46,sulume,1709,1708
46,nab,1585,1662
46,svnlog,1630,1687
46,sabbir_yousuf,1731,1671
46,Kharybin,1672,1692
46,pablo.aguilar,1608,1677
46,masha,1522,1652
46,UC2,1807,1724
46,ZumZoom,1721,1694
46,scientist1642,1546,1656
46,AntonDubovik,1743,1693
46,nook,1588,1651
46,dyussenaliyev,1516,1643
46,bohuss,1512,1642
46,simsa.st,1605,1666
46,NRCover,1512,1637
46,igor_kz,1503,1633
46,Vasya.V,1784,1704
46,Roman1,1637,1668
46,toi333,1699,1676
46,mdldml,1541,1643
46,Hackson,1652,1667
46,fura2,1698,1672
46,pershik,1662,1666
46,lyrics,1552,1638
46,sempav,1608,1651
46,BillyBones,1500,1597
46,phinfinity,1500,1597
46,AlexIlin,1500,1594
46,MihailTyomkin,1675,1658
46,Fcdkbear,1599,1643
46,caustique,1563,1635
46,ICOA,1464,1600
46,alexej,1602,1641
46,Di735,1305,1519
46,Psilocybe,1502,1612
46,extremall,1493,1601
46,ahm.kam_92,1626,1642
46,Nikhil,1707,1650
46,Aule,1513,1611
46,AnMarie,1635,1637
46,kemichar,1608,1635
46,Laurelindorinen,1500,1575
46,Snipx,1513,1609
46,VArt,1561,1620
46,hamlet_fiis,1500,1576
46,teams2ua,1635,1630
46,nehalem,1646,1634
46,fmm,1613,1625
46,Liaksiejka,1775,1683
46,Diabolic,1560,1607
46,Spumote,1649,1626
46,shindannin,1582,1617
46,Auster,1607,1619
46,logicmachine,1618,1620
46,helThazar,1641,1621
46,bagnikita,1592,1612
46,zbwmqlw,1773,1679
46,DarkRaven,1389,1542
46,DeMoN,1532,1595
46,amir_sh,1740,1654
46,Ignorance,1557,1599
46,tataredmi,1500,1549
46,simp1eton,1681,1615
46,chaemon,1500,1547
46,panyuchao,1724,1642
46,dmitrydyatlov,1548,1593
46,jzd,1607,1604
46,hmelnoy,1588,1600
46,enot110,1838,1722
46,HRM,1614,1602
46,witua,1742,1652
46,lcqbest,1553,1586
46,hirosegolf,1593,1593
46,Nox,1566,1589
46,kilotaras,1476,1561
46,unrated,1268,1460
46,asif_iut,1572,1585
46,KungA,1329,1494
46,gevdemon,1613,1588
46,i_lol_ia,1500,1521
46,orangenius,1559,1578
46,bubnov,1624,1587
46,nel215,1741,1647
46,leon_l,1370,1510
46,Saken,1594,1581
46,obvious,1500,1532
46,akimonoiryou,1531,1567
46,zt5840,1632,1580
46,zaitsev,1354,1499
46,cst,1392,1515
46,zayhero,1453,1538
46,haas,1500,1526
46,Galastor,1500,1526
46,SamanSami,1500,1523
46,vici,1453,1535
46,codetest,1540,1550
46,Zelich,1500,1508
46,nima101,1454,1533
46,Luzan,1510,1495
46,sadra27,1513,1549
46,Langostinko,1513,1528
46,ginz,1500,1518
46,DanDrago,1562,1559
46,m.elahi,1370,1495
46,insane,1543,1553
46,Parhomets,1533,1549
46,Berzhik,1609,1560
46,kyun,1711,1617
46,danek_g30,1542,1546
46,watson,1607,1541
46,SupeR-MaN,1548,1545
46,jayesh02,1512,1537
46,Justforfun,1317,1459
46,qq20091200,1607,1550
46,Anton92nd,1544,1540
46,naagi,1713,1613
46,xtpynx,1680,1593
46,Aleksey,1505,1530
46,XieZheng,1500,1501
46,mystery_boy,1557,1540
46,JKeeJ1e30,1385,1454
46,MarioYC,1446,1508
46,Notforgetbutnew,1377,1480
46,pavlin,1578,1536
46,Kh.Madi,1532,1524
46,2009210656,1374,1471
46,kenny59,1533,1527
46,robine,1623,1549
46,kyo_key,1642,1559
46,kirmartynov,1539,1516
46,zhangjianing,1293,1425
46,nguyenkimvy,1595,1532
46,logN,1385,1475
46,andreyrmg,1500,1486
46,Dolphin,1668,1575
46,Konovalov_Nik,1269,1405
46,babak,1487,1509
46,biegaoxiao,1554,1521
46,ysyshtc,1816,1685
46,Snow_storm,1554,1515
46,KTR,1608,1531
46,Viktor,1406,1475
46,ifrit,1496,1503
46,goooooooopan,1500,1464
46,imper,1653,1561
46,random_2,1500,1472
46,ifsmirnov,1690,1590
46,akshayk0406,1510,1500
46,Alex-Gran,1538,1504
46,Gelka,1628,1544
46,Zachary,1376,1454
46,bobrofon,1500,1453
46,kreep,1507,1483
