contest_id,handle,old_rating,new_rating
1415,Kirill22,2435,2570
1415,fastmath,2586,2641
1415,VEGAnn,2365,2453
1415,alexxela12345,2357,2431
1415,solver777,1985,2152
1415,ne4eHbKa,2176,2277
1415,AliceG,2231,2308
1415,Tikhon228,2190,2270
1415,Nutella3000,2344,2375
1415,_--,2114,2202
1415,pelmenner,1956,2083
1415,MForest,2290,2319
1415,_overrated_,2208,2254
1415,Mlxa,2303,2319
1415,Mr.Robot_28,2286,2303
1415,shnirelman,2101,2164
1415,Petr1Furious,2168,2209
1415,Qwerty1232,1874,1992
1415,Cifoviko,1700,1863
1415,T1mofey778,1803,1933
1415,skfo,985,1385
1415,King_Nothing,1988,2061
1415,LUV,2317,2297
1415,Dalenator,2121,2152
1415,talant,2292,2276
1415,Karabutsa,1860,1956
1415,AlFlen,2137,2156
1415,polipolinom,1906,1985
1415,artiom.43,2098,2123
1415,Degalat57,2421,2362
1415,SoDarkSoul317,1479,1670
1415,gravitsapa,1963,2017
1415,DimOsCreed,1893,1964
1415,almost_nutella,1895,1963
1415,Qqun_,1983,2026
1415,nexus.chebykin,1974,2017
1415,Poimidorka,2143,2140
1415,damir.achokh,1705,1816
1415,MADKIRUS,1897,1955
1415,onamo,1529,1686
1415,karpik,2041,2058
1415,pavel-afonkin,1783,1866
1415,notkamil,1622,1747
1415,J.F.K.,1602,1731
1415,GrishaIvanenko,2082,2082
1415,viajero,1707,1804
1415,waleko,1861,1915
1415,topovik,1833,1893
1415,alksai,1727,1814
1415,Biran_Anastasiya,530,1050
1415,ulyabelyaeva,1721,1806
1415,FairyWinx,2131,2109
1415,sermir2003,1599,1715
1415,LuchkinVyacheslav,1973,1988
1415,Nutella3001,1987,1997
1415,TUPO_LAPKI,1747,1818
1415,rightways,1532,1661
1415,nnrpi,1307,1505
1415,hackerito,1567,1683
1415,weufihqiewhbfewf,1733,1803
1415,kartel,1833,1874
1415,fattt,1976,1980
1415,ClbPOK,1644,1734
1415,74TrAkToR,2235,2173
1415,4el0ve4ek,1917,1933
1415,neLiza,0,661
1415,abdula-mon-fon-alibaba-A,1514,1637
1415,cute_hater,2123,2085
1415,TonicJoker,1987,1982
1415,Ooops_no,2035,2017
1415,Mirong,1576,1677
1415,princebelkovetz,1935,1940
1415,IamGalymzhan,1543,1651
1415,alimq,2039,2015
1415,Sergak_top,1772,1816
1415,filimonovasr,744,1171
1415,Renedyn,1605,1692
1415,sverdlovvova,1668,1736
1415,stepanov.aa,1467,1591
1415,moonpie24,1762,1803
1415,IMRUN,1865,1879
1415,KANKAN,1623,1700
1415,ball_of_wool,2065,2027
1415,machine_solution,2312,2215
1415,Kblp_COCu4kA,1775,1809
1415,MaxVor,1652,1717
1415,mr.kolya,1636,1705
1415,f.kukso,1438,1562
1415,spaceleo,2146,2084
1415,temikgo,1991,1966
1415,GrishaRybolovlev,1276,1450
1415,avoronoi,1888,1887
1415,RamInBoots,1464,1576
1415,mostyka,1760,1790
1415,p0kemanbr,1489,1592
1415,edisnider,1431,1550
1415,gordeve,1413,1536
1415,_Jeweler,1491,1591
1415,asvasil,2097,2039
1415,DmitryLzr,1408,1531
1415,Nitelike,1604,1670
1415,Nazarov_Rodion,1735,1765
1415,alymzhan,1880,1872
1415,flypew,1821,1828
1415,Vimmer,2042,1993
1415,mukar,1601,1662
1415,ilyaleshchik,1639,1690
1415,_TheLostDesu_,1746,1769
1415,igorwwylson,1474,1570
1415,saftig,1643,1691
1415,evstigneevg,1977,1940
1415,NBarykin,2214,2119
1415,ZhenyaDudko,1541,1615
1415,eyakm1,1624,1675
1415,kirillzaxarov1,1660,1700
1415,UnstoppableMathMachine,2066,2004
1415,speed4ce,1646,1689
1415,i_love_my_mom,1834,1827
1415,Dorky,1325,1460
1415,Serik2003,1698,1725
1415,terrg,1606,1656
1415,TimKo,1874,1855
1415,shevnin_d,1375,1491
1415,I_I_I,1543,1609
1415,staf02,1713,1733
1415,grishechkin,1482,1563
1415,stepaaa,1422,1521
1415,LMasalsky,1626,1666
1415,N3vajnoKto,1693,1716
1415,myotra,1656,1688
1415,Hardes1,1773,1773
1415,Lelouch-vi-Britannia,1537,1600
1415,Dodolphin,1655,1685
1415,Kinopitals,1817,1805
1415,sizzziy,2065,1992
1415,Evilandrew,1922,1883
