contest_id,handle,old_rating,new_rating
793,LHiC,3155,3279
793,W4yneb0t,2932,3068
793,GlebsHP,2683,2863
793,egor_bb,2439,2673
793,Radewoosh,2939,3017
793,I_love_Tanya_Romanova,2981,3037
793,kmjp,2423,2625
793,qwerty787788,2945,2993
793,Nicolas16,2339,2548
793,PORONGON,2232,2465
793,SirShokoladina,2786,2856
793,aid,2903,2936
793,KrK,2426,2585
793,HellKitsune,2600,2706
793,molamola.,2734,2798
793,Ra16bit,2369,2530
793,pparys,2387,2538
793,niyaznigmatul,2674,2743
793,Lewin,2675,2740
793,eddy1021,2517,2621
793,Deemo,2385,2522
793,fastcoder,2137,2340
793,ko_osaga,2607,2677
793,jqdai0815,3307,3196
793,Vercingetorix,2410,2528
793,mhss,2372,2497
793,-XraY-,3170,3086
793,anta,2614,2668
793,fqw,2637,2683
793,riadwaw,2628,2674
793,mmaxio,2508,2584
793,hloya_ygrt,2205,2361
793,Zlobober,2919,2884
793,ershov.stanislav,2878,2852
793,C_SUNSHINE,2306,2427
793,KADR,2498,2566
793,jcvb,2984,2926
793,Gullesnuffs,2761,2756
793,zetamoo,2043,2229
793,DBradac,2449,2522
793,pavel.savchenkov,2518,2571
793,IMAN_GH,2191,2330
793,I_love_tigersugar,2477,2537
793,Golovanov399,2564,2600
793,Kaban-5,2605,2628
793,kjp4155,2013,2195
793,_h_,2381,2460
793,jonathanpaulson,2013,2191
793,sugim48,2653,2658
793,.o.,2579,2602
793,gchebanov,2244,2354
793,kraskevich,2560,2583
793,LoneFox,2368,2442
793,Shayan,2250,2354
793,LittleAA,2141,2273
793,kefaa,2419,2475
793,Johnny_2002,2136,2266
793,matthew99,2877,2815
793,Egor,2677,2663
793,bixind,2277,2365
793,wakaka,2159,2278
793,Gassa,2412,2462
793,dreamoon_love_AA,2799,2750
793,kobortor,1498,1816
793,spencer,2177,2286
793,duyboy135,2298,2373
793,albert96,2446,2481
793,Anadi,2032,2177
793,wrinx,2255,2338
793,Endagorion,2921,2836
793,tloinuy,2159,2266
793,vlecomte,2175,2276
793,kyleliu,1784,1996
793,kokokostya,2187,2283
793,pab2,2035,2172
793,pkhaustov,2387,2428
793,cerberus97,1982,2131
793,Livace,1931,2094
793,WeLoveSedGhasem,1871,2051
793,kodek,1934,2094
793,Binary-grid-colouring,1780,1985
793,maksay,2248,2320
793,fushar,2005,2142
793,alexander.yuriev,2093,2204
793,Belonogov,2688,2645
793,budalnik,2595,2573
793,TimonKnigge,2366,2402
793,EbTech,2069,2183
793,unused,2565,2549
793,Temirulan,2214,2287
793,step_by_step,2372,2403
