contest_id,handle,old_rating,new_rating
794,V--o_o--V,2674,2926
794,LHiC,3316,3355
794,Um_nik,3096,3165
794,Petr,3257,3265
794,Shik,2817,2926
794,Syloviaely,2920,2990
794,Seter,2345,2566
794,SirShokoladina,2819,2898
794,matthew99,2847,2911
794,DBradac,2546,2685
794,JustasK,2362,2546
794,YuukaKazami,2730,2806
794,JoeyWheeler,2996,2997
794,jcvb,2863,2894
794,FizzyDavid,2475,2606
794,jqdai0815,3085,3051
794,TeaPot,2511,2623
794,Kostroma,2632,2707
794,riadwaw,2893,2896
794,platypus179,2326,2478
794,chokudai,2348,2490
794,fateice,2096,2305
794,SpyCheese,2725,2759
794,Akigeor,2488,2582
794,qwerty787788,2896,2881
794,HellKitsune,2630,2680
794,Lewin,2735,2755
794,Reyna,2645,2686
794,bicsi,2386,2494
794,KrK,2522,2591
794,dreamoon_love_AA,2498,2571
794,liympanda,2215,2362
794,Golovanov399,2591,2635
794,NgocHai,2094,2270
794,savinov,2457,2532
794,anta,2753,2749
794,latte0119,2462,2532
794,rnsiehemt,2469,2533
794,Nerevar,2513,2565
794,MrDindows,2652,2666
794,kraskevich,2583,2613
794,chemthan,2249,2366
794,Ra16bit,2530,2570
794,OnionPringles,2521,2562
794,BaconLi,2423,2488
794,subscriber,2869,2819
794,kingofnumbers,2311,2403
794,krijgertje,2463,2513
794,pavel.savchenkov,2423,2482
794,wwt15,2229,2338
794,espr1t,2067,2218
794,fruwajacybyk,2290,2379
794,VArtem,2575,2588
794,Ilya_MSU,2392,2452
794,Reskip,1970,2142
794,shanin,2055,2202
794,zetamoo,2305,2383
794,data_h,2633,2625
794,Rafbill,2335,2403
794,AndreySergunin,2328,2396
794,sokokaleb,2128,2248
794,Magic_is_real,1701,1942
794,Laakeri,2579,2579
794,Timur_Sitdikov,2348,2406
794,Deemo,2613,2602
794,DmitryBelikov,2076,2204
794,sarkar,1834,2028
794,natsugiri,2638,2618
794,uwi,2825,2758
794,mHuman,2232,2313
794,KungA,2255,2328
794,dummy,2151,2252
794,paulwang,2225,2305
794,rqgao2014,1966,2115
794,Vedensky,2225,2303
794,ngfam_kongu,2411,2438
794,Tima,2442,2461
794,NVAL,2313,2364
794,skydog,1868,2039
794,fsouza,2530,2523
794,ltaravilse,2124,2222
794,cxaphoenix,2115,2214
794,Taube,2310,2357
794,Hoi_koro,2182,2262
794,RoKi,2414,2433
794,kmjp,2531,2520
794,cchao,2472,2474
794,knightL,2476,2476
794,alexander.yuriev,2204,2273
794,DEGwer,2704,2647
794,sqrtdecompton,2170,2247
794,khadaev,2692,2636
794,GlebsHP,2794,2713
794,Jatana,2057,2161
794,Temirulan,2318,2353
794,egor_bb,2673,2618
794,Kepnu4,2337,2365
794,Triracle,1873,2024
794,hogloid,2623,2578
794,MathCrusader,2176,2243
794,toilanvd_KAIST,2041,2143
794,poomas,1917,2052
794,ilyakor,2620,2573
794,tomsyp,2314,2342
794,LCM,2141,2213
794,kingjgv5,2032,2133
794,mstczuo,2181,2241
794,noor049,2041,2138
794,nuip,2414,2413
794,glebushka98,2087,2170
794,ec24,2018,2119
794,__math,2194,2247
794,eddy1021,2678,2610
794,tqyaaaaang,2194,2246
794,Menci,1873,2010
794,.I.,1966,2077
794,sigma425,2439,2427
794,irkstepanov,2466,2446
794,Vladyslav,2481,2457
794,mhss,2377,2378
794,HanwhaEagles,1781,1940
794,Wuvin,1993,2092
794,zscc,2237,2271
794,chavit,1866,1999
794,gchebanov,2290,2310
794,VadymKa,1848,1985
794,Sampson,2283,2303
794,naij,1928,2041
794,DPR-pavlin,2450,2427
794,Mamedov,1712,1885
794,Shayan,2253,2278
794,bzh,1890,2010
794,SoMuchDrama,2034,2115
794,jhyjhy,1876,1999
794,FallenTurret,2146,2196
794,ultizet,2134,2187
794,LiTi,2375,2366
794,zeliboba,2738,2641
794,redocyz,1901,2014
794,yyh,1867,1989
794,doooodle,2046,2119
794,ditoly,2201,2232
794,TooDumbToWin,1945,2043
794,dani_bw,1926,2029
794,SameerGulati,2322,2321
794,yancouto,2287,2295
794,zhan7744,1867,1985
794,ika,2016,2093
794,Sereja,2280,2288
794,StarCuriosity,2197,2225
794,fxxl,1708,1869
794,albertg,2082,2139
794,IMAN_GH,2342,2331
794,conor,1750,1896
794,kinginthenorth,1870,1982
794,Artoria1,1561,1764
794,gigime,1957,2044
794,amitruler,1624,1806
794,akashdeep,2289,2289
794,popovicirobert,1619,1801
794,jkxjkx1031,1805,1932
794,sunset,2130,2169
794,ASoboll,1983,2060
794,tanzaku,2044,2105
794,Melnyk,2309,2301
794,lexuanan,2337,2322
794,Caproner,1841,1955
794,ajs97,1986,2060
794,hiThere23,2057,2111
794,Alexandr_TS,2153,2182
794,fetetriste,2169,2194
794,CS_LYJ1997,1993,2063
794,M.Mahdi,2440,2396
794,gskhirtladze,2279,2274
794,satyaki3794,2255,2255
794,triveni,1984,2054
794,Apollon76,1957,2034
794,Aldir,1514,1719
794,pazzle1230,1733,1871
794,lebeg,1707,1852
794,eiya,1508,1714
794,rembocoder,2117,2150
794,cheburazshka,1691,1839
794,kondranin,2083,2123
794,NourElRashidy,1950,2025
794,Minority169,1773,1896
794,cip999,1964,2034
794,TangentDay,2021,2076
794,_42,1937,2013
794,ielenik,1922,2002
794,Filyan,2112,2141
794,t.muttaqueen,1762,1885
794,alexyz,1831,1935
794,bgrm,1818,1924
794,DimaWoogy,1595,1766
794,Omar_Morsi,1792,1905
794,I_love_tigersugar,2351,2318
794,lsrothy,1500,1700
794,ITDOI,2174,2184
794,Jaihk662,1743,1868
794,ManasG,1640,1795
794,gogateiiit,1446,1662
794,all_out,1692,1830
794,dima_z,1895,1976
794,TokuchiToa,1883,1967
794,spiderbatman,1926,1998
794,ajinkya1p3,2036,2079
794,crowworks695,1887,1969
794,mislav,2334,2300
794,tbw1033,1771,1883
794,STommydx,1994,2046
794,dy0607,1758,1874
794,TheWishmaster,2059,2093
794,Man,1941,2006
794,AhmedHamed,1813,1912
794,DeWitt,1618,1772
794,wrinx,2293,2267
794,kokokostya,2259,2240
794,Whalanator,2081,2106
794,yaegashi,1853,1938
794,halin.george,2080,2105
794,RedNextCentury,2015,2057
794,SpOleM,1880,1957
794,abhi170893,1501,1689
794,LeCaRiBoU,1829,1919
794,TsunamiNoLetGo,2226,2213
794,SamuelTangz,1751,1862
794,Ashishgup,1844,1929
794,lsmll,2031,2066
794,polingy,2020,2057
794,monster,1998,2041
794,EternalDespair,1751,1860
794,niu,1753,1861
794,JABAIY,1760,1866
794,suiyuan1992,1935,1993
794,maksay,2193,2184
794,danick,1855,1934
794,sss3133,1557,1721
794,Tommyr7,1937,1992
794,Endagorion,2919,2740
794,TimonKnigge,2306,2268
794,DatVu,1616,1760
794,vishucool,1501,1680
794,zhuaiballl,1794,1887
794,Livace,2135,2138
794,cerberus97,2213,2196
794,duyboy135,2338,2290
794,PolyProgrammist,1792,1884
794,Ejecutante,1609,1753
794,KirillShin,1553,1713
794,RetiredAmrMahmoud,2200,2185
794,dhirajfx3,1750,1851
794,Luqman,1966,2009
794,please_delete_account,2111,2116
794,Nataly_Cod,1562,1717
794,dream-boy,1658,1784
794,pranav0123,1585,1733
794,BelowLuminous,1599,1742
794,BAACTREE,1709,1820
794,Bedge,2010,2039
794,sunset1995,1870,1936
794,Heaplax,1500,1672
794,bbugaev,1809,1891
794,DOUB7E,1771,1862
794,chitanda,2254,2220
794,meek,1770,1861
794,Urubu,1821,1898
794,KARM,1689,1802
794,bouhoula,1737,1836
794,ipaljak,1983,2016
794,Edvard,2236,2205
794,about_30_ninjas,1805,1885
794,Rostislav_the_great,2010,2034
794,JinOuwen,2023,2044
794,Vicennial,1703,1810
794,mariand,1781,1866
794,W--o_o--W,1500,1667
794,thai9cdb1,1801,1879
794,Roundgod,1503,1668
794,vladmart,1652,1772
794,sahilgrover,2152,2139
794,pitfall,2233,2200
794,dalex,2069,2076
794,RoundDog,2000,2024
794,Kuzey,2115,2109
794,nagibator,1889,1941
794,ChillingDream,1500,1664
794,mgoncharov,1916,1960
794,m.raszyk,2152,2136
794,GEEK,1651,1768
794,gop2024,1986,2011
794,Mustang98,1995,2018
794,HideLord,1581,1717
794,phoenix71,1833,1897
794,Dipak,2114,2106
794,xjhz,1888,1937
794,adamant,2249,2207
794,animeshf,2128,2116
794,BoJack_Horseman,1798,1871
794,Albus_Sirius,1592,1723
794,0w1,1915,1956
794,rihaz_zahir,1732,1822
794,anthonyhkf,2025,2037
794,lugo,1950,1980
794,raoxj,1923,1960
794,Figthlighting,1355,1561
794,cthbst,2089,2083
794,iakovlev.zakhar,1745,1829
794,vintage_Grigory_Reznikov,1517,1668
794,niquefa_diego,2211,2175
794,xietx,1574,1707
794,laoriu,2099,2090
794,sa1ntdevil,1649,1759
794,nicetomeetu,1715,1806
794,hexsix,1567,1700
794,Ali.Kh,1876,1923
794,squee_spoon,2037,2042
794,AceSrc,2120,2104
794,tfg,2036,2040
794,ssw20002,1743,1824
794,Honour_00,2049,2050
794,RAVEman,2658,2513
794,antkhorin,1544,1682
794,vanvector,2006,2017
794,Nson,1590,1713
794,doubility,2312,2247
794,m.a.kuzn,1500,1651
794,Lo_R_D,1939,1965
794,killjee,1902,1938
794,arjunsanjeev7,1914,1947
794,Snezhok,2269,2213
794,trungnq,1724,1807
794,maninblack,1562,1691
794,Tiko,1543,1678
794,Darkdawn,1924,1953
794,pparwal12,1922,1951
794,biGinNer,2206,2163
794,comfi,2170,2136
794,hay,1681,1774
794,q234rty,1929,1955
794,zyding,1999,2007
794,wolfib,1729,1808
794,harshil,2026,2026
794,Nijigasaki_MaedaKaori,1836,1885
794,_Mr_Fab,1695,1782
794,BrainFreeze,1560,1686
794,deepanshugarg,1695,1782
794,NoLongerRed,1500,1644
794,UnionFind,1500,1644
794,paruki,1972,1984
794,ConnorZhong,2157,2123
794,pjgblt,1900,1930
794,-is-this-fft-,2054,2045
794,lord_bendtner,1702,1785
794,orz_liuwei,1949,1966
794,acdart1,1500,1642
