contest_id,handle,old_rating,new_rating
963,V--o_o--V,3006,3167
963,jqdai0815,3242,3289
963,Radewoosh,3158,3197
963,Um_nik,3297,3278
963,Denisson,2435,2624
963,ko_osaga,2806,2887
963,yosupo,2694,2792
963,dreamoon_love_AA,2765,2836
963,Violet_Evergarden,2103,2346
963,Marcin_smu,2743,2804
963,hank55663,2250,2434
963,mmaxio,2539,2639
963,aid,2763,2800
963,budalnik,2472,2578
963,step_by_step,2362,2493
963,tqyaaaaang,2506,2594
963,gisp_zjz,2256,2407
963,Benq,2893,2875
963,totsamyzed,2362,2476
963,Reyna,2344,2459
963,Shik,2608,2651
963,thjchph4trjnh,2219,2362
963,fateice,3099,3011
963,mnaeraxr,2316,2426
963,ngfam_kongu,2315,2422
963,smallling,2236,2362
963,Man,1965,2176
963,lajiniunai,1962,2171
963,Aeon,2360,2444
963,KeyID,2182,2314
963,vsp4,2023,2203
963,Svlad_Cjelli,2219,2335
963,JOHNKRAM,2754,2729
963,BigBag,2533,2561
963,malcolm,2223,2332
963,Hasan0540,2137,2269
963,FizzyDavicl,2525,2549
963,yum,2026,2190
963,Starlit,2060,2210
963,FallDream,2279,2362
963,Arterm,2823,2765
963,bertho_coder,1983,2154
963,Deemo,2603,2597
963,alex9801,2318,2384
963,cjtoribio,2293,2364
963,uwi,2810,2747
963,MrDindows,2704,2666
963,FaivencTale,2257,2333
963,TooDumbToWin,2127,2239
963,Lewin,2381,2421
963,loomas,1943,2113
963,beet,2126,2234
963,adamant,2340,2386
963,ugly2333,2366,2404
963,Jakube,2097,2209
963,wxy_z,2148,2244
963,gaucho_josecito,1981,2129
963,Temirulan,2293,2345
963,matthew99,2624,2591
963,pkhaustov,2181,2262
963,tmwilliamlin168,2169,2252
963,Yao-ge,2082,2190
963,Klungs,1901,2070
963,anta.baka,2006,2136
963,gop2024,2248,2304
963,zjczzzjczjczzzjc,2093,2192
963,HXLLL,2076,2180
963,peltorator,2207,2271
963,Elegia,2023,2141
963,AndreySergunin,2468,2461
963,kalimm,2337,2362
963,ThePilgrim,2119,2204
963,BARPITF,2022,2135
963,zbww,2111,2196
963,kevinsogo,2475,2462
963,perchema,1912,2061
963,gskhirtladze,2074,2167
963,stanislav.bezkorovainyi,1915,2061
963,_noname,2096,2180
963,Jatana,2121,2197
963,Melnyk,2181,2238
963,MightyToMo,1936,2070
963,fastcoder,2162,2223
963,scanhex,2285,2311
963,_Ash__,2018,2121
963,neither,2213,2257
963,Barichek,2333,2344
963,voover,2569,2521
963,ngkan,2120,2188
963,Na2a,2133,2196
963,amethyst0,2445,2425
963,ckodser,2188,2233
963,antguz,1987,2092
963,VastoLorde95,2165,2215
963,Ali_Pi,2133,2191
963,oxx1108,1971,2079
963,kabuszki,2117,2178
963,ludwig,1978,2082
963,orzdjq,1907,2035
963,Ali_P,1947,2060
963,lxlxl,2148,2196
963,kingofnumbers,2294,2303
963,VArtem,2635,2559
963,YaKon4ick,2102,2161
963,Tommyr7,2329,2327
963,Nots0fast,2002,2091
963,HIT_TOM,2011,2095
963,natsugiri,2414,2388
963,Tima,2065,2132
963,leaomatheus,1970,2067
963,danya.smelskiy,2099,2154
963,TinkerKing,2073,2135
963,jtnydv25,2310,2307
963,Fekete,2008,2089
963,MZuev,2230,2246
963,shadowatyy,2381,2359
963,shpsi,2209,2230
963,dpaleka,1997,2078
963,ajecc,1970,2058
963,jerry,2427,2390
963,waltz7l9,2122,2164
963,cai_lw,1911,2018
963,Aryan,1903,2013
963,comfi,2274,2273
963,prion,2004,2077
963,Filyan,2029,2095
963,txingml,1957,2044
963,cheater2k,2244,2248
963,lawfung,1996,2070
963,isaf27,2353,2329
963,chpipis,2084,2130
963,emengdeath,2014,2080
963,shdut,1991,2064
963,father,2032,2090
963,OPG,1901,2002
963,zyding,2283,2273
963,polingy,2291,2278
963,PrashantM,2258,2252
963,abeker,2304,2287
963,KMAASZRAA,2179,2192
963,Akinorew,2042,2093
963,jklepec,2003,2066
963,kotamanegi,1936,2020
963,lsrothy,1971,2042
963,NanaKagura,2021,2075
963,Hamzqq9,1930,2013
963,Rudy1444,2223,2221
963,kopricky,1972,2041
963,kmjp,2407,2359
963,Likulau,2094,2125
