contest_id,handle,old_rating,new_rating
169,halyavin,1683,1718
169,flydutchman,1576,1656
169,HellKitsune,1604,1672
169,Kamilot,1678,1712
169,kraskevich,1693,1719
169,Spumote,1586,1659
169,untitled.cpp,1525,1621
169,This_poet,1505,1608
169,Timur_Keks,1593,1662
169,kolina,1591,1660
169,PeterGriffin,1532,1623
169,ctzsm,1604,1666
169,phidang,1549,1632
169,Darmani,1530,1620
169,hamlet_fiis,1547,1630
169,dark_ai,1595,1658
169,andrei14vl,1510,1606
169,Igor.Ivanich,1386,1520
169,AlGebr,1508,1603
169,rsharipov,1462,1572
169,aquamongoose,1662,1691
169,cxyue,1639,1678
169,Captain_CoCo,1699,1708
169,natsugiri,1688,1703
169,RosyIsh,1618,1665
169,kurnevsky,1446,1559
169,white_cobra3,1394,1521
169,winterwolf94,1618,1663
169,edogrigqv2,1450,1560
169,takapt,1662,1684
169,liuyubobobo,1625,1665
169,Scalar,1674,1689
169,Renderhp,1543,1617
169,CMH,1628,1664
169,rumter,1411,1530
169,mostafa_fahim,1612,1654
169,Qubit01,1490,1582
169,Simplex,1649,1672
169,marim,1611,1652
169,kirmartynov,1602,1646
169,zhendeaini6001,1471,1568
169,gpac,1449,1552
169,auguste42,1625,1656
169,protocolocon,1580,1631
169,Omar.Darwish,1556,1617
169,Alisafe,1663,1673
169,marty.magician,1665,1673
169,jlcastrillon,1485,1573
169,bcurcio,1601,1639
169,ghnjk,1620,1648
169,nimloth,1496,1578
169,lyc12345,1516,1590
169,windy7926778,1638,1656
169,afaf,1500,1598
169,DEGwer,1398,1511
169,AlfaCoding,1638,1653
169,InsectBrain,1571,1618
169,bdfhjk,1606,1636
169,gedemenli,1488,1569
169,asembl,1424,1526
169,burakbugrul,1365,1484
169,erat,1500,1594
169,fatihmaytalman,1355,1476
169,NextOptimus,1643,1650
169,I_love_Dasha,1500,1592
169,MinWoo,1483,1562
169,zakharvoit,1563,1607
169,ilona,1555,1603
169,bohuss,1625,1638
169,wy89767,1310,1439
169,tasyrkin,1550,1598
169,ikar,1575,1611
169,median0816,1487,1561
169,scorpion,1426,1521
169,chandaniitr,1432,1524
169,gestapolur,1470,1549
169,xwchen,1660,1649
169,xiaoshua2,1668,1652
169,Just-a-demon,1501,1566
169,Shafaet,1660,1647
169,TMandzu,1618,1626
169,Acko,1642,1638
169,azneyes,1391,1493
169,yongwhan,1596,1614
169,Leewings,1493,1559
169,shlnpg096,1628,1629
169,tyamgin,1580,1604
169,adam_,1683,1650
169,obag,1629,1628
169,manishmap2,1597,1612
169,Golovanov399,1557,1592
169,Ahmed.Ibrahem,1578,1600
169,lxc,1521,1570
169,chakradarraju,1612,1615
169,ugly.frog2805,1502,1558
169,NewGYM,1565,1592
169,EarlOfDitches,1486,1547
169,killerdjo,1602,1608
169,gamedeveloper,1590,1602
169,serafimkoo,1513,1562
169,MrPapaya,1657,1630
169,matteojug,1563,1587
169,LesyaPhoenix,1502,1554
169,tereshinvs,1635,1621
169,SergiiKo,1390,1484
169,AlfredoJohnson,1401,1491
169,VArt,1592,1597
169,kwetril,1537,1570
169,scientist1642,1561,1582
169,Ramp,1425,1504
169,sasha.sochka,1515,1558
169,Lancelot,1617,1609
169,kojingharang,1694,1641
169,Nox,1660,1627
169,Kelang,1542,1573
169,onetwothree,1587,1589
169,LinkovMih,1515,1553
169,Rosetta,1435,1506
169,NickAltair,1562,1577
169,MehrdadM,1363,1458
169,4T-Shirt,1449,1515
169,vlyubin,1522,1557
169,yimao,1490,1536
169,Dima_qwer,1536,1560
169,Andreos,1599,1591
169,homelessman,1645,1609
169,DULGUUNBATMUNKH,1599,1591
169,luyi0619,1696,1636
169,nevergum,1424,1494
169,romanova,1559,1567
169,InvincibleUZ,1511,1543
169,thphong,1672,1617
169,Sane,1303,1408
169,cholerikasi,1683,1624
169,yiyiyi4321,1572,1571
169,Sammax,1541,1556
169,Serzhan,1433,1496
169,mkagenius,1668,1612
169,jefferson_,1664,1609
169,sergiyko,1557,1561
169,Cromel,1518,1542
169,midul,1415,1483
169,kagamiz,1523,1545
169,MOPMblLLlKA,1301,1401
169,rexim,1533,1547
169,OnurYildiz,1425,1486
169,ryad0m,1433,1491
169,huangchao,1582,1567
169,DnS,1508,1531
169,agarwaen,1468,1510
169,masibonge,1434,1490
169,mukulgupta,1535,1545
169,UCI-Night,1475,1514
169,dojiboy9,1669,1609
169,Lepton_s,1524,1536
169,unit7,1490,1519
169,johar,1635,1584
169,slalex,1627,1578
169,Valkiria,1418,1475
169,vietnameseguy,1589,1562
169,guliashvili,1342,1424
169,mimirrow,1562,1551
169,equi,1643,1587
169,dpfAsh,1441,1488
169,rmoneg438,1673,1610
169,Troy_Cornelius,1500,1543
169,peking2,1486,1510
169,BoBaH6eToH,1507,1521
169,atopoxo,1523,1528
169,teleport,1651,1592
169,lianlian,1638,1582
169,sbasrik,1622,1571
169,fido,1523,1528
169,aaa_bbb_ccc,1654,1594
169,cjoa,1648,1589
169,bgd,1502,1518
169,cyberguru007,1550,1542
169,Stebaev,1441,1485
169,Jovfer,1578,1546
169,pookz,1615,1562
169,proVIDec,1377,1439
169,sazid,1323,1401
169,radix.ru,1560,1537
169,yuri_i,1375,1436
