contest_id,handle,old_rating,new_rating
542,scott_wu,2609,2725
542,ikatanic,2609,2692
542,piob,2623,2686
542,Gullesnuffs,2342,2443
542,Marcin_smu,2629,2674
542,YuukaKazami,2841,2845
542,Egor,2683,2709
542,BaconLi,2616,2651
542,anta,2506,2560
542,kriii,2417,2487
542,uwi,2594,2626
542,surwdkgo,2387,2459
542,ainta,2470,2523
542,yarek,1954,2108
542,tuna_salad,2333,2412
542,kcm1700,2582,2603
542,dreamoon_love_AA,2238,2335
542,Coder,2526,2556
542,natsugiri,2278,2363
542,JoeyWheeler,2535,2558
542,I_love_tigersugar,2319,2392
542,flydutchman,2527,2547
542,zerokugi,2272,2353
542,Xellos,2353,2414
542,aaaaajack,2396,2444
542,ksun48,2271,2348
542,logicmachine,2389,2436
542,zxqfl,2595,2582
542,Nezzar,2182,2276
542,WoodcutKnife,2252,2329
542,FatalEagle,2266,2338
542,Sergey.Bankevich,2085,2198
542,rnsiehemt,2076,2190
542,kraskevich,2438,2459
542,mkirsche,2266,2332
542,yubowenok,2171,2260
542,krismaz,2175,2262
542,dojiboy9,2247,2314
542,__math,2406,2427
542,ikbal,2470,2470
542,ichyo,2238,2304
542,xyz2606,2286,2337
542,rmn,2076,2180
542,Piwattz,1862,2008
542,waerlawson,1857,2003
542,matrix,2384,2400
542,kmjp,2346,2372
542,egor_bb,2135,2219
542,Taube,2185,2255
542,xxTastyHypeBeast666xx,2321,2350
542,haitao,1934,2061
542,atetubou,2414,2410
542,Ilya_MSU,2289,2325
542,StarCuriosity,2119,2201
542,poopi,2429,2414
542,pwild,2149,2221
542,NVAL,2219,2270
542,HIR180,2369,2371
542,nnnnnnnnnn,2045,2141
542,yzyz,2143,2212
542,dancho,2264,2296
542,Doju,2057,2147
542,k21,2134,2202
542,mjy0503,2372,2365
542,marat.snowbear,2337,2339
542,M.Mahdi,2208,2251
542,vadimmm,2172,2225
542,m.raszyk,2169,2223
542,percywtc,2013,2107
542,yeti,2016,2109
542,a00012025,2157,2210
542,tabasz,2399,2366
542,conglingdanpai,2058,2137
542,stjepan,2596,2530
542,fruwajacybyk,2298,2300
542,Kepnu4,2364,2339
542,kingofnumbers,2129,2184
542,saketh,2340,2321
542,arechitsky,1948,2049
542,Emarci15,2219,2241
542,ZhNV,2113,2168
542,eddy1021,2253,2261
542,sky58,2378,2338
542,Wild_Hamster,1995,2080
542,Tima,1919,2022
542,daidailanlan,2255,2258
542,vml,2239,2245
542,Mektpoy,1937,2033
542,KrK,2419,2369
542,jablko,2317,2289
542,Sinner,2135,2174
542,dusty.and.rusty,1800,1921
542,PrinceOfPersia,2189,2206
542,miguelmaurizio,1982,2062
542,sgtlaugh,2012,2083
542,matias.holte,1755,1882
542,DBradac,2286,2261
542,Awa149,2018,2084
542,Hwhitetooth,2143,2169
542,Nero,2350,2304
542,alexyz,1934,2021
542,Haghani,2482,2418
542,I_love_Hoang_Yen,2475,2410
542,LiTi,2278,2247
542,Krasnokutskiy,2000,2065
542,Tinsane,2108,2140
542,espr1t,2081,2120
542,djdolls,1991,2056
542,NNSpasic,1747,1865
542,ngfam_kongu,2394,2337
542,rantd,1872,1965
542,wanbo,2181,2179
542,keyvankhademi,2108,2131
542,Slamur,1996,2054
542,BSBandme,2414,2352
542,scotter,1864,1955
542,Kreyyy,2141,2148
542,tumut,1747,1859
542,yurboss,2099,2119
542,JayYe,2163,2159
542,ZJiaQ,2159,2156
542,fhlasek,2355,2298
542,paulwang,2223,2191
542,nhho,1960,2020
542,thefacetakt,2083,2103
542,RamTararam,1917,1987
542,Philae,1964,2020
542,Zymphony77,1796,1893
542,Tim_LinYd,1838,1925
542,rgt0820,1706,1817
542,Kira96,2175,2154
542,JeBeK,2463,2387
542,maxplus,1952,2007
542,-imc-,2107,2110
542,microtony,1993,2034
542,Me-and-Myself,1710,1816
542,Sampson,2404,2335
542,amitsaharana,2120,2114
542,Na2a,2079,2086
542,Ac-93,2046,2065
542,PlayLikeNeverB4,2199,2158
542,sigma425,2311,2253
542,aliasadiiii,2252,2202
542,pi37,1794,1880
542,NoWoDeYo,1851,1923
542,pva701,2216,2170
542,hiukim,1993,2024
542,Osholbolbol_awli,1940,1986
542,sokokaleb,2035,2049
542,guru2691,1871,1935
542,NgocHai,2084,2079
542,Anuar,1831,1903
542,freepvps,1969,2003
542,ababah,1968,2000
542,guille,2160,2120
542,ASverdlov,1851,1915
542,I_love_Tanya_Romanova,2428,2348
542,dnvtmf,1739,1826
542,chenmark,2102,2081
542,ytau,2057,2053
542,behzad.nouri,2012,2024
542,danbanica,1908,1952
542,toilanvd_HUST,2133,2095
542,Neodym,1970,1993
542,skywalkert,1840,1900
542,jinmatakich84,1701,1789
542,SebiSebi,2000,2010
542,no15_renne,1748,1826
542,yugrey,1750,1827
542,Hammer_mill,1751,1827
542,KEFedorov,2041,2033
