contest_id,handle,old_rating,new_rating
658,osmanorhan,1788,2063
658,nhho,1872,2089
658,fudail225,1791,2014
658,agaga,1875,2059
658,alanM,1886,2056
658,UESTC_Sphinx,1877,2034
658,vozcoder,1859,2021
658,2016,1885,2033
658,naiij,1739,1927
658,TerryMcGinnis,1893,2028
658,YYOne,1841,1987
658,squee_spoon,1894,2020
658,xwind_phoenix,1785,1940
658,Auenwald,1860,1989
658,Rpd-Strike,1746,1907
658,vishfrnds,1799,1940
658,nigus,1850,1973
658,yellowthundercat,1737,1892
658,Relax,1855,1971
658,pikapikachu,1788,1922
658,foundLoveOfMyLife,1659,1832
658,RichardF,1842,1955
658,okura,1792,1918
658,kyparus,1623,1801
658,P___,1773,1900
658,Beresta,1799,1916
658,SerVasilich,1631,1800
658,vedaanta,1711,1852
658,BENYAM1N,1659,1815
658,mredigonda,1694,1837
658,alex_bucevschi,1653,1808
658,falanga,1794,1902
658,gasin,1899,1975
658,JIBANCANYANG,1641,1795
658,yashkumar18,1878,1957
658,pyrexshorts,1768,1877
658,ap_hawkdown,1730,1851
658,e19-un,1665,1805
658,mink_ank_loves_me,1647,1791
658,PresentationError,1883,1954
658,Lolkekzor,1520,1706
658,ndatta,1866,1940
658,myown1209,1899,1962
658,jorik,1655,1791
658,dcod,1731,1841
658,siyavash,1660,1791
658,avamsi,1775,1870
658,Omar_Mekkawy,1628,1768
658,lenny,1866,1932
658,Mohammad_Yasser,1835,1909
658,triploblastic,1829,1904
658,Mehrdad_S,1729,1832
658,628_LJ,1675,1794
658,Jakube,1817,1892
658,Eopxt,1883,1938
658,Zorua,1866,1925
658,Vax,1803,1879
658,Yongyingyu,1500,1672
658,ehsanoo,1779,1860
658,codingisfun,1504,1674
658,Reese,1491,1664
658,amsen,1693,1798
658,PeterASteele,1868,1920
658,lbguilherme,1818,1884
658,Lili_ka,1769,1849
658,cheater2k,1624,1748
658,mainstring,1645,1761
658,dooooodle,1727,1817
658,Ra1nWarden,1842,1896
658,dhawalupadhyay,1757,1836
658,PraveenDhinwa,1854,1904
658,J_X,1881,1922
658,ikid_Hoang,1751,1830
658,vaibhavvasant1705,1530,1679
658,leaomatheus,1892,1928
658,Boxer,1813,1871
658,LCM,1891,1927
658,Heartbroken.,1891,1925
658,smiken,1619,1734
658,baukaman,1714,1799
658,SiERic,1866,1906
658,shivamkakkar,1835,1882
658,snacache,1819,1871
658,rr_,1787,1848
658,bhargav104,1749,1820
658,AlexandruVlad,1847,1889
658,mindol,1838,1882
658,shubham1694,1794,1850
658,moonflyer,1676,1767
658,adkroxx,1775,1835
658,pandazcy2,1730,1803
658,Tudor,1831,1874
658,leviathan,1825,1869
658,Nurseiit,1537,1669
