contest_id,handle,old_rating,new_rating
618,Egor,2910,3058
618,Petr,3107,3166
618,Um_nik,2963,3035
618,RomaWhite,2640,2783
618,Sampson,2176,2443
618,-XraY-,2698,2803
618,riadwaw,2381,2567
618,al13n,2673,2769
618,rowdark,2500,2637
618,JoeyWheeler,2728,2797
618,liymsheep,2589,2690
618,Errichto,2343,2508
618,VArtem,2630,2710
618,HYPERHYPERHYPERCUBELOVER,2450,2576
618,LayCurse,2602,2682
618,Radewoosh,2423,2548
618,eddy1021,2242,2416
618,oversolver,2226,2401
618,Al.Cash,2508,2600
618,dotorya,2606,2668
618,V--o_o--V,2790,2802
618,HellKitsune,2647,2693
618,ainta,2437,2537
618,Chmel_Tolstiy,2457,2549
618,Hezhu,2360,2476
618,connor,1732,2038
618,knightL,2526,2592
618,netman,2357,2467
618,izban,2656,2684
618,Xellos,2418,2505
618,Swistakk,2585,2627
618,maksay,2206,2350
618,mmaxio,2712,2718
618,matix2267,2315,2425
618,kolesov93,2432,2508
618,eatmore,2645,2663
618,Necromancer,2279,2393
618,mareksom,2387,2470
618,Akigeor,2125,2280
618,sugim48,2364,2450
618,aropan,2516,2560
618,KADR,2398,2472
618,kcm1700,2708,2699
618,Alex_2oo8,2516,2555
618,Zlobober,2636,2643
618,RAVEman,2497,2539
618,KAN,2777,2747
618,geniucos,2336,2418
618,-imc-,2290,2383
618,ffao,2432,2486
618,FatalEagle,2591,2602
618,kuviman,2314,2397
618,dreamoon_love_AA,2617,2619
618,TankEngineer,2903,2834
618,zemen,2518,2543
618,kuangbin,2199,2309
618,ershov.stanislav,2634,2627
618,andrew.volchek,2643,2633
618,tuna_salad,2206,2310
618,dj3500,2402,2452
618,albert96,2307,2381
618,Solaris,2354,2415
618,Nezzar,2118,2243
618,FizzyDavid,2098,2227
618,OnionPringles,1500,1821
618,irkstepanov,2085,2216
618,SpyCheese,2369,2421
618,YakutovDmitriy,2316,2381
618,simonlindholm,2496,2512
618,ilyakor,2628,2610
618,Jimanbanashi,2033,2174
618,Skird,2115,2231
618,yarrr,2237,2318
618,Namnamseo,2030,2169
618,ifsmirnov,2445,2469
618,zerokugi,2453,2474
618,gchebanov,2301,2362
618,Nero,2387,2424
618,sharph,2441,2463
618,desert97,2398,2430
618,Belonogov,2670,2633
618,gen,2124,2229
618,LHiC,2587,2568
618,yeputons,2783,2717
618,VladGavrila,2419,2442
618,alex20030190,2273,2334
618,White_Bear,2433,2451
618,bayleef,2459,2469
618,KrK,2504,2502
618,vml,2277,2334
618,JustN,2097,2202
618,Taube,2167,2251
618,aurinegro,2069,2180
618,NikaraBika,2128,2222
618,RAD,2734,2672
618,azizkhan,2287,2337
618,Copymaster,2452,2458
618,gxnncrx1993,2344,2377
618,teleport,2360,2388
618,Gassa,2262,2315
618,ko_osaga,2308,2349
618,skrydg,2139,2224
618,minh141198,2246,2302
618,Shik,2644,2598
618,vladi,2344,2372
618,Kurpilyansky,2163,2239
618,mgch,2272,2318
618,Flyrise,2003,2121
618,danilka.pro,2309,2343
618,Ilya_MSU,2419,2425
618,DamianS,2277,2319
618,KungA,2340,2365
618,pflueger,2167,2238
618,kmjp,2330,2357
618,qwerty787788,2675,2616
