contest_id,handle,old_rating,new_rating
85,tourist,2547,2586
85,Petr,2441,2504
85,Burunduk1,2192,2331
85,hos.lyric,2313,2409
85,andrewzta,2046,2234
85,ACRush,2268,2376
85,Stigius,1782,2041
85,RAVEman,2223,2343
85,vlad89,2216,2337
85,yeputons,2191,2320
85,pparys,1648,1918
85,neal,2285,2376
85,PavelKunyavskiy,2191,2316
85,vepifanov,2461,2484
85,wata,2187,2310
85,donehl,1990,2187
85,ivan.popelyshev,2303,2378
85,Egor,2308,2381
85,tmt514,2107,2256
85,rpeng,1678,1945
85,cerealguy,2116,2259
85,ashmelev,2249,2337
85,e-maxx,2156,2280
85,niyaznigmatul,2079,2233
85,White_Bear,1837,2075
85,Romka,2281,2349
85,ainu7,2191,2297
85,opiekacz,1628,1892
85,qwaker.00,2061,2218
85,al13n,2089,2232
85,Dmitry_Egorov,2185,2286
85,Shef,2270,2332
85,dzhulgakov,2268,2329
85,pperm,2178,2278
85,dyukha,1800,2041
85,tracyhenry,2183,2278
85,Anton_Lunyov,2263,2319
85,Nerevar,2100,2229
85,Coder,2229,2298
85,SergeyRogulenko,2261,2313
85,aropan,1966,2148
85,quyse,1945,2135
85,rizar,1855,2075
85,ivan.metelsky,2256,2304
85,SteamTurbine,2069,2204
85,maksay,2071,2205
85,poopi,1866,2080
85,glassices,1500,1737
85,Sammarize,1910,2107
85,Zhukov_Dmitry,2289,2309
85,ll931110,2028,2175
85,stgatilov,2207,2267
85,litwin,1830,2051
85,Progger,2148,2235
85,dgozman,1773,2008
85,iwiwi,2222,2268
85,darnley,1841,2056
85,Pavlo_Lviv_NU,1632,1882
85,KADR,2098,2203
85,DPR-pavlin,2070,2188
85,Gluk,2065,2184
85,Fdg,2102,2202
85,2222,2196,2246
85,Oleg,2280,2280
85,ifsmirnov,1950,2117
85,sankear,1963,2124
85,Xazker,2063,2176
85,AlexFetisov,2137,2211
85,DDDDDDDDDDDDDDDDDDDDDDDD,1990,2135
85,goryinyich,1857,2056
85,Philip_PV,2184,2229
85,ardiankp,2133,2204
85,suhendry,1886,2072
85,kcm1700,2084,2179
85,freopen,1982,2125
85,delsius.sk,1588,1831
85,kormak,2044,2156
85,Nyatl,1925,2091
85,rmn,2074,2168
85,Thost,1652,1891
85,TomConerly,1985,2121
85,fastblood,1668,1905
85,navi,1916,2082
85,Alexus,1980,2115
85,Vintik,2122,2183
85,Gassa,2127,2185
85,LayCurse,2132,2185
85,Jacob,1963,2104
85,XilinX,1703,1933
85,wywcgs,2063,2151
85,watashi,2413,2319
85,Martin,2139,2181
85,unbing,1657,1890
85,t__nt,2019,2126
85,Kenny_HORROR,2072,2149
85,levlam,1790,1993
85,dolphinigle,2242,2210
85,NALP,2071,2145
85,Al.Cash,2133,2170
85,I_love_Nastya,1991,2106
85,LinesPrower,2038,2128
85,Sisu,2028,2122
85,good_mood,1724,1942
85,package.zaic,2176,2179
85,Astein,2014,2113
85,Milanin,2065,2134
85,ArtDitel,2136,2161
85,Soultaker,2077,2137
85,alger95,1722,1937
85,dreamoon_love_AA,2107,2146
85,Alex_KPR,2101,2144
85,Gerald,2233,2184
85,SpookyCookie,2135,2152
85,R_R_,1935,2067
85,al_maz,1758,1959
85,chavit,1719,1930
85,slavik,2088,2130
85,alexander.yuriev,1847,2013
85,GARNETCROW_a.k.a_hhanger,2105,2134
85,sky58,1982,2083
85,soundsdx,1625,1847
85,Ripatti,1982,2081
85,tomerun,1724,1930
85,ConanKudo,1986,2081
85,alexey.enkov,1969,2072
85,SergeyLazarev,1730,1932
85,mr146,1989,2079
85,moondy,1963,2067
85,pasin30055,1929,2050
85,Seyaua,2055,2103
85,borisgrubic,2005,2083
85,ptrrsn_1,1977,2069
85,sbzlyessit,1864,2012
85,Chaker,1863,2011
85,gchebanov,1877,2017
85,ania,2084,2107
85,mmaxio,2262,2181
85,kelvin,1942,2048
85,S.Yesipenko,2018,2080
85,sevenkplus,1843,1995
85,ktuan,2259,2176
85,dancho,1893,2020
85,yiuyuho,1971,2056
85,Ruslan,1781,1954
85,Borisp,2056,2087
85,dragoon,2138,2111
85,alexander86,2095,2098
85,Vedensky,2060,2085
85,NeT,1559,1774
85,paulik,1705,1900
85,fetetriste,2008,2064
85,air,1754,1931
85,siuvit,1843,1985
85,ulandev,1884,2006
85,mib,1882,2004
85,UESTC_Nocturne,1733,1915
85,Erop,1913,2018
85,vsb,2208,2131
85,xscape,1753,1926
85,enot110,2057,2071
85,tian,1900,2008
85,Narg,1732,1911
85,domeng,1816,1963
85,goo.gl_SsAhv,2101,2079
85,uwi,2199,2121
85,extremall,1580,1784
85,Fly,1588,1791
85,Mahdi,1873,1989
85,rng_58,2313,2204
85,nafi3000,1822,1962
85,vpj,1849,1975
85,permin,2008,2043
85,acherepanov,1840,1969
85,valich,1670,1858
85,zeliboba,2128,2071
85,pt1989,1897,1995
85,KOTEHOK,2179,2102
85,I_love_natalia,1911,2000
85,-dp-,1992,2030
85,GoldenSection,1602,1797
85,ilyakor,2396,2259
85,cgy4ever,2097,2057
85,gawry,2223,2132
85,havaliza,2044,2042
85,coolinging,1757,1914
85,romanandreev,2272,2167
85,Alchemist,1752,1909
85,mukel,1896,1985
85,Kurpilyansky,2087,2046
85,yzq110abc,2023,2029
85,zurg,1882,1976
85,Dumpty,1706,1876
85,sip,1649,1832
85,forest,1813,1940
85,zglicz,1754,1906
85,EvAn,1366,1527
85,FattyPenguin,1797,1929
85,cleaner_leon,1732,1890
85,victor_kamashev,1847,1954
85,igogo,1826,1943
85,pieguy,1771,1911
85,akim239,2092,2032
85,hydrastuff,1838,1947
85,AleX,2293,2176
85,Olja,1895,1970
85,atol,1903,1974
85,drazil,1772,1908
85,fryday,1585,1769
85,venkateshb,2157,2073
85,Edvard,2035,2012
85,Sereja,2187,2095
85,tanas,1902,1968
85,nathanielbarshay,1587,1770
85,I-juice,2119,2044
85,lcch,1890,1962
85,MBabin,1878,1954
85,Steps09,1944,1980
85,naihuangbao,1500,1627
85,wjomlex,1822,1927
85,lxhgww,1656,1824
85,satej,1718,1867
85,Smylic,2085,2017
85,SobolS,1926,1968
85,bubnov,1773,1897
85,fengzlzl,1900,1957
85,forifchen,1805,1915
85,godofthunder,1707,1858
85,CherryTree,1825,1922
85,tanakh,1983,1980
85,Deamon,1738,1873
85,sprea,1857,1935
85,lucasr,1801,1907
85,hzgd,1853,1931
85,portal,1775,1891
85,andrey-tsb,2016,1982
85,VArtem,1838,1923
85,darkbtf,1956,1965
85,cafelier,2051,1988
85,amrSamir,2076,2004
85,Andrew_Makar,1783,1891
85,kilotaras,1831,1916
85,chyx,1739,1866
85,ft.azadi,1985,1967
85,Nenash,1821,1909
85,wangyc6,1600,1763
85,shindo,1827,1910
85,MAK,1803,1899
85,sevenzero,1835,1914
85,nodchip,1991,1966
85,EbTech,1804,1896
85,hbagherinezhad,1670,1816
85,anhdt,1864,1920
85,P___,2036,1972
85,GeKa,1825,1903
85,mavr,1892,1929
85,ArchMaG,1941,1945
85,dkirienko,1849,1913
85,Lepetrandr,1793,1884
85,l.j.q.light,1823,1899
85,adavydow,1955,1945
85,ilya.korovin,1729,1848
85,kohyatoh,2191,2081
85,xiaoziqian,1894,1922
85,whhone,2055,1981
85,vyahhi,1638,1783
85,suneast,2153,2052
85,mingrimingyue,1693,1823
85,pkhaustov,2190,2079
85,Oi.,1830,1894
85,cos,1721,1839
85,eik0u,2100,2011
85,it4.kp,2060,1982
85,Artishok,2001,1942
85,Cruiser,2007,1944
85,sonyckson,2097,2008
85,Igor_Kudryashov,2041,1967
85,steiner,1835,1890
85,Babanin_Ivan,1704,1823
85,Imba,2221,2098
85,kdalex,1708,1824
85,Zlobober,2031,1958
85,Sergey.Bankevich,2084,1997
85,phinfinity,1951,1922
85,Kandyman,1802,1871
85,sunhaowen567,1767,1853
85,Komaki,1717,1826
85,Goofy57,1806,1870
85,Aleksander,1682,1805
85,stubbscroll,1935,1914
85,-XraY-,2115,2018
85,Rydberg,1967,1918
85,ArtemKadeev,1710,1818
85,zibada,1928,1908
85,Jokser,2056,1972
85,teams2ua,1787,1855
85,h4tguy,1737,1831
85,iakolzin,1953,1910
85,fhlasek,1833,1874
85,NotOnlySuccess,1919,1900
85,wistful23,1722,1820
85,vudduu,1752,1835
85,standy,1928,1900
85,sweiss,1966,1908
85,MarioYC,1733,1825
85,sabbir_yousuf,1747,1832
85,Eugen,1580,1718
85,ddldyj237,1548,1691
85,moshiur,1890,1884
85,Alireza,1939,1897
85,kamranm,1775,1841
85,AlexErofeev,1730,1819
85,z__jj,1977,1910
85,bayleef,1966,1903
85,_sunny,1950,1894
85,helThazar,1667,1778
85,lyrics,1721,1809
85,cheshire_cat,1649,1764
85,Monyura,1707,1800
85,hasi,1924,1884
85,shadow_codeforces,1635,1752
85,sazzad,1574,1705
85,flowlight,1712,1800
85,antonkov,1797,1842
85,yudaer,1741,1814
85,olimpo,1666,1771
85,huyuealex,1726,1805
85,macs,1740,1813
85,flashmt,1910,1875
85,haas,1762,1821
85,stostap,1651,1759
85,biochem_fan,1720,1798
85,ebd,1986,1911
85,subscriber,2075,1976
85,kennethsnow,1880,1861
85,arosusti,1912,1869
85,ixqscf669,1805,1837
85,DamianS,1991,1913
85,mR.ilchi,2073,1974
85,GeLo,1777,1820
85,yiyiyi4321,1515,1650
85,Matt,2041,1949
85,A.I,1813,1833
85,LALAqq,1657,1755
85,lijunle,1846,1843
85,henshiru,1747,1804
85,mukas,1850,1842
85,Nikolai,1707,1782
85,K_operafan,1821,1832
85,baihacker,1908,1856
85,dragon007,1505,1637
85,philolo1,1629,1730
85,RodrigoBurgos,1635,1734
85,seen,1754,1802
85,Balajiganapathi,1662,1752
85,gojira,1954,1881
85,zaq1xsw2tktk,1800,1818
85,AekdyCoin,1873,1841
85,Creed,1662,1748
85,yvasyliv,1794,1813
85,segrey,1682,1760
85,riad,1675,1755
85,x-ray,1868,1835
85,gaston770,1723,1780
85,pius_88,1676,1754
85,wrong,2203,2071
85,frankyym,1945,1872
85,icyrhyme,1817,1818
85,Dener,2065,1960
85,pablo.aguilar,1808,1812
85,rawroot,1667,1745
85,Arkadiy,1683,1755
85,daffes,1948,1873
85,felix_halim,1934,1862
85,asaveljevs,1818,1811
85,ArkChar,1734,1777
85,kuzmichev_dima,1905,1840
85,pank.dm,1969,1887
85,Ferlon,1882,1825
85,Ministr,1572,1674
85,digiter,1811,1805
85,Medium,2015,1920
85,riversouther,1528,1639
85,kozima,1840,1811
85,LinJiYuan90,1768,1787
85,mcsharma1990,1818,1805
85,Bo_Odya,1645,1723
85,mipt.vi002,1789,1792
85,fura2,1829,1804
85,matushkin,1721,1762
85,pshtanko,1584,1676
85,Genyaz,1820,1800
85,jackiesteed,1744,1771
85,vish,1640,1714
85,m7nika,1864,1808
85,UC2,1890,1824
85,Eledven,2030,1928
85,TheRaven,1930,1853
85,Jughead,1865,1806
85,Ever1989,1665,1726
85,Hadi_Asiaie,2049,1941
85,rofi,1787,1780
85,chhung6,1936,1856
85,redox,1713,1748
85,alberist,1704,1743
85,NikitaD,1820,1789
85,yarrr,1688,1734
85,chiemduybao,1505,1610
85,PML,1627,1697
85,DarthBeleg,1715,1745
85,masha,1637,1701
85,MuratKhayrulin,1841,1790
85,madkite,1595,1671
85,iostream,1589,1667
85,y3eadgbe,1694,1733
85,timgaripov,1768,1764
85,Sigmar,1745,1755
85,xhae,1956,1868
85,SkyFire,2024,1919
85,alexej,1634,1694
85,oversolver,1659,1709
85,sdya,2189,2057
85,witua,1803,1771
85,DmitriyH,1829,1777
85,Light_moon,1762,1757
85,AdrianKuegel,1816,1773
85,svilen,1658,1705
85,vitar,1635,1690
85,D.M.,1464,1563
85,dj3500,2038,1926
85,DangTH,1633,1688
85,starvae,1777,1781
85,Nil_ct,1552,1632
85,AlexAlvarez,2046,1932
85,Alex-Gran,1830,1772
